名前,タグ,ステータス,作業期間
テーマそのほかのプログラムの設置・設定,,Not started,2023年5月4日 → 2023年5月5日
LPデザイン修正,,Not started,2023年5月10日 → 2023年5月11日
ヘッダー、バナー、下層P項目デザインの方向性の確定,,Not started,2023年4月28日 → 2023年5月3日
下層コンテンツデザイン,,Not started,2023年5月4日
下層コンテンツ確認,,Not started,2023年5月4日
下層デザイン修正,,Not started,2023年5月5日
LPデザインイメージ制作,,Not started,2023年5月4日 → 2023年5月6日
LP デザインイメージ確認,,Not started,2023年5月6日
LPデザイン制作,,Not started,2023年5月5日 → 2023年5月6日
LPデザイン確認,,Not started,2023年5月9日
ヘッダー、バナーデザイン,,Not started,2023年5月3日 → 2023年5月4日
ヘッダー、バナーデザイン確認,,Not started,2023年5月3日 → 2023年5月4日
ヘッダー、バナー、フッター設置,,Not started,2023年5月5日
全体チェック,,Not started,2023年5月9日
全体修正,,Not started,2023年5月10日
LPデザイン修正指示追加,,Not started,2023年5月4日 → 2023年5月5日
アニュアル制作,,Not started,2023年5月13日
