名前,Category,URL,YouTube記事 / 状態,クライアント,タグ,テキスト,"日付 ",書類制作日付
超特化ブログ記事の書き方,work notes,https://www.youtube.com/watch?v=8x7s8OGwKuo,,超特化ブログビジネス (https://app.notion.com/p/022a066727344d6b83baa0b5c6bf4fe4?pvs=21),学び,,,2023年7月19日 18:23
フォームからのスパムメール,work notes,https://mstao.net/,,SUNNYSH (https://app.notion.com/p/08d06c9684c3467ba3373ef7768d2323?pvs=21),"HP, WP, エラー",,,2023年7月19日 18:23
FacebookページIDなど,,,,,,,,2023年7月19日 18:23
PINT TC Facbookタイムライン設置コード,,,,PINTOTENNIS (https://app.notion.com/p/28cbbe711faf48ebb5b6d8c4a4a7d894?pvs=21),,Facbookタイムライン設置コードの最新（高さの修正前）,,2023年7月19日 18:23
アジア経済 07月20日,YouTube記事,,録音済,SUNNYSH (https://app.notion.com/p/08d06c9684c3467ba3373ef7768d2323?pvs=21),アジア経済YouTubeチャンネル,,2023/07/20,2023年7月19日 18:23
EA資金状態,work notes,,,,"EA, FX",,,2023年7月19日 18:23
PINT HP Facebookの修正で、高さ調整できない,work notes,,,PINTOTENNIS (https://app.notion.com/p/28cbbe711faf48ebb5b6d8c4a4a7d894?pvs=21),,"FAcebookの高さを調整のためにCSSを下記の通り追加
しかし、反映されず。",,2023年7月19日 18:23
AIを使い他YouTuberの動画の内容をテキスト化,,,,SUNNYSH (https://app.notion.com/p/08d06c9684c3467ba3373ef7768d2323?pvs=21),"AI, Work Notes, YouTube, テスト",,,2023年7月19日 18:23
アジア経済 07月21日,YouTube記事,,原稿受け取り済,SUNNYSH (https://app.notion.com/p/08d06c9684c3467ba3373ef7768d2323?pvs=21),アジア経済YouTubeチャンネル,,2023/07/21,2023年7月19日 18:23
All-in-One WP Migrationのサイズ限界なし,,https://www.caliberelectronics.com/all-in-one-wp-migration/#free-1,,PINTOTENNIS (https://app.notion.com/p/28cbbe711faf48ebb5b6d8c4a4a7d894?pvs=21),,ULRは参考ページ,,2023年7月19日 18:23
アジア経済 07月19日,YouTube記事,,アップロード済,SUNNYSH (https://app.notion.com/p/08d06c9684c3467ba3373ef7768d2323?pvs=21),アジア経済YouTubeチャンネル,,2023/07/19,2023年7月19日 18:23
アジア経済 07月22日,YouTube記事,,原稿受け取り済,SUNNYSH (https://app.notion.com/p/08d06c9684c3467ba3373ef7768d2323?pvs=21),アジア経済YouTubeチャンネル,,2023/07/22,2023年7月19日 18:23
アジア経済 07月16日,YouTube記事,,アップロード済,SUNNYSH (https://app.notion.com/p/08d06c9684c3467ba3373ef7768d2323?pvs=21),アジア経済YouTubeチャンネル,,2023/07/16,2023年7月19日 18:23
アジア経済 07月13日,YouTube記事,,アップロード済,SUNNYSH (https://app.notion.com/p/08d06c9684c3467ba3373ef7768d2323?pvs=21),アジア経済YouTubeチャンネル,,2023/07/13,2023年7月19日 18:23
アジア経済 07月15日,YouTube記事,,アップロード済,SUNNYSH (https://app.notion.com/p/08d06c9684c3467ba3373ef7768d2323?pvs=21),アジア経済YouTubeチャンネル,,2023/07/15,2023年7月19日 18:23
アジア経済 07月12日,YouTube記事,,アップロード済,SUNNYSH (https://app.notion.com/p/08d06c9684c3467ba3373ef7768d2323?pvs=21),アジア経済YouTubeチャンネル,,2023/07/12,2023年7月19日 18:23
アジア経済 07月18日,YouTube記事,,アップロード済,SUNNYSH (https://app.notion.com/p/08d06c9684c3467ba3373ef7768d2323?pvs=21),アジア経済YouTubeチャンネル,,2023/07/18,2023年7月19日 18:23
Facebook設置　説明,,https://start-biz.net/facebook-in-wordpress/,,PINTOTENNIS (https://app.notion.com/p/28cbbe711faf48ebb5b6d8c4a4a7d894?pvs=21),"Book Mark, Work Notes",,,2023年7月19日 18:23
PINT SNS部分コード（修正前）,,,,,,,,2023年7月19日 18:23
SEOのための文字削除の見積もり,見積もり,,,海のサロン空 (https://app.notion.com/p/cac1b30910c34287934a1c33094eb8d8?pvs=21),"HP, WP, Work Notes, 修正",,,2023年7月19日 18:23
家族信託 文章見本BOOKマーク,work notes,,,伊藤事務所 (https://app.notion.com/p/50ae285c895d4fe0afb9f0295ac76156?pvs=21),Work Notes,,,2023年7月19日 18:23
スタート前にやること,work notes,,,超特化ブログビジネス (https://app.notion.com/p/022a066727344d6b83baa0b5c6bf4fe4?pvs=21),"HP, WP",,,2023年7月19日 18:23
ChatGTP  ウィジットエラーの対応 memo,work notes,,,PINTOTENNIS (https://app.notion.com/p/28cbbe711faf48ebb5b6d8c4a4a7d894?pvs=21),,,,2023年7月19日 18:23
超特化ブログペルソナ設定,work notes,https://www.youtube.com/watch?v=8x7s8OGwKuo,,超特化ブログビジネス (https://app.notion.com/p/022a066727344d6b83baa0b5c6bf4fe4?pvs=21),学び,,,2023年7月19日 18:23
PINT TC　Twitter URL,,https://twitter.com/PINTO11376747?ref_src=twsrc%5Etfw%7Ctwcamp%5Eembeddedtimeline%7Ctwterm%5Escreen-name%3APINTO11376747%7Ctwcon%5Es1,,PINTOTENNIS (https://app.notion.com/p/28cbbe711faf48ebb5b6d8c4a4a7d894?pvs=21),,,,2023年7月19日 18:23
HP制作費用,見積もり,https://mstao.net/,,三輪真一郎税理士事務所 (https://app.notion.com/p/bfe0f3c8bc92440d8cc5538593731590?pvs=21),HP,,,2023年7月19日 18:23
家族信託ページ追加,見積もり,https://ito-jimusyo.com/,,伊藤事務所 (https://app.notion.com/p/50ae285c895d4fe0afb9f0295ac76156?pvs=21),"HP, Work Notes",,,2023年7月19日 18:23
超特化ブログジャンルの選び方：激戦を選ぶ,work notes,https://www.youtube.com/watch?v=8x7s8OGwKuo,,超特化ブログビジネス (https://app.notion.com/p/022a066727344d6b83baa0b5c6bf4fe4?pvs=21),学び,,,2023年7月19日 18:23
アジア経済 07月17日,YouTube記事,,アップロード済,SUNNYSH (https://app.notion.com/p/08d06c9684c3467ba3373ef7768d2323?pvs=21),アジア経済YouTubeチャンネル,,2023/07/17,2023年7月19日 18:23
超特化ブログサイト設計,work notes,https://www.youtube.com/watch?v=8x7s8OGwKuo,,超特化ブログビジネス (https://app.notion.com/p/022a066727344d6b83baa0b5c6bf4fe4?pvs=21),学び,,,2023年7月19日 18:23
