名前,タグ,Category,書類制作日付,URL,クライアント,テキスト,プロジェクト,備考,実施予定日,"日付 ",重要度
PINT サーバー移動・ドメイン移管,,work notes,2026年4月9日 13:36,,PINTOTENNIS (PINTOTENNIS%2028cbbe711faf48ebb5b6d8c4a4a7d894.md),,サーバー移動・ドメイン移管 (../DB_%E3%83%97%E3%83%AD%E3%82%B8%E3%82%A7%E3%82%AF%E3%83%88/%E3%82%B5%E3%83%BC%E3%83%90%E3%83%BC%E7%A7%BB%E5%8B%95%E3%83%BB%E3%83%89%E3%83%A1%E3%82%A4%E3%83%B3%E7%A7%BB%E7%AE%A1%2033d5cc0e3e50806390bbfcca36f49c1a.md),,,2026/04/06,
PINT TC　メール設定説明,,,2026年1月15日 11:24,,PINTOTENNIS (PINTOTENNIS%2028cbbe711faf48ebb5b6d8c4a4a7d894.md),OutlookとGmail,PINT TC メールHP修正 (../DB_%E3%83%97%E3%83%AD%E3%82%B8%E3%82%A7%E3%82%AF%E3%83%88/PINT%20TC%20%E3%83%A1%E3%83%BC%E3%83%ABHP%E4%BF%AE%E6%AD%A3%202e95cc0e3e5080c09817eb6302401cc1.md),,,2026/01/15,
PINTのツイッター設置コード,,work notes,2023年12月13日 14:08,,PINTOTENNIS (PINTOTENNIS%2028cbbe711faf48ebb5b6d8c4a4a7d894.md),,"PINT Website修正　2人コーチ担当削除 (../DB_%E3%83%97%E3%83%AD%E3%82%B8%E3%82%A7%E3%82%AF%E3%83%88/PINT%20Website%E4%BF%AE%E6%AD%A3%202%E4%BA%BA%E3%82%B3%E3%83%BC%E3%83%81%E6%8B%85%E5%BD%93%E5%89%8A%E9%99%A4%209d8b4a8a27f14aa59c53fa061c97c605.md), PINT Website修正 (../DB_%E3%83%97%E3%83%AD%E3%82%B8%E3%82%A7%E3%82%AF%E3%83%88/PINT%20Website%E4%BF%AE%E6%AD%A3%20b411dd577ef6453bad2333524de3cd96.md)",,,,
PINTO insta URL,Book Mark,,2023年8月3日 14:17,https://www.instagram.com/pinto_tennis_club/,PINTOTENNIS (PINTOTENNIS%2028cbbe711faf48ebb5b6d8c4a4a7d894.md),,"PINT Website修正　2人コーチ担当削除 (../DB_%E3%83%97%E3%83%AD%E3%82%B8%E3%82%A7%E3%82%AF%E3%83%88/PINT%20Website%E4%BF%AE%E6%AD%A3%202%E4%BA%BA%E3%82%B3%E3%83%BC%E3%83%81%E6%8B%85%E5%BD%93%E5%89%8A%E9%99%A4%209d8b4a8a27f14aa59c53fa061c97c605.md), PINT Website修正 (../DB_%E3%83%97%E3%83%AD%E3%82%B8%E3%82%A7%E3%82%AF%E3%83%88/PINT%20Website%E4%BF%AE%E6%AD%A3%20b411dd577ef6453bad2333524de3cd96.md)",,,,
修正内容,"HP, WP, work notes, 修正",,2023年8月3日 14:08,,PINTOTENNIS (PINTOTENNIS%2028cbbe711faf48ebb5b6d8c4a4a7d894.md),,"PINT Website修正　2人コーチ担当削除 (../DB_%E3%83%97%E3%83%AD%E3%82%B8%E3%82%A7%E3%82%AF%E3%83%88/PINT%20Website%E4%BF%AE%E6%AD%A3%202%E4%BA%BA%E3%82%B3%E3%83%BC%E3%83%81%E6%8B%85%E5%BD%93%E5%89%8A%E9%99%A4%209d8b4a8a27f14aa59c53fa061c97c605.md), PINT Website修正 (../DB_%E3%83%97%E3%83%AD%E3%82%B8%E3%82%A7%E3%82%AF%E3%83%88/PINT%20Website%E4%BF%AE%E6%AD%A3%20b411dd577ef6453bad2333524de3cd96.md)",,,,
HP新テーマ導入時のPINTさん要望,,work notes,2023年7月26日 16:02,,PINTOTENNIS (PINTOTENNIS%2028cbbe711faf48ebb5b6d8c4a4a7d894.md),,"PINT Website修正　2人コーチ担当削除 (../DB_%E3%83%97%E3%83%AD%E3%82%B8%E3%82%A7%E3%82%AF%E3%83%88/PINT%20Website%E4%BF%AE%E6%AD%A3%202%E4%BA%BA%E3%82%B3%E3%83%BC%E3%83%81%E6%8B%85%E5%BD%93%E5%89%8A%E9%99%A4%209d8b4a8a27f14aa59c53fa061c97c605.md), PINT Website修正 (../DB_%E3%83%97%E3%83%AD%E3%82%B8%E3%82%A7%E3%82%AF%E3%83%88/PINT%20Website%E4%BF%AE%E6%AD%A3%20b411dd577ef6453bad2333524de3cd96.md)",,,,
WPテーマを最新に変更、サーバー移動,"HP, WP",見積もり,2023年7月21日 11:08,,PINTOTENNIS (PINTOTENNIS%2028cbbe711faf48ebb5b6d8c4a4a7d894.md),,"PINT Website修正　2人コーチ担当削除 (../DB_%E3%83%97%E3%83%AD%E3%82%B8%E3%82%A7%E3%82%AF%E3%83%88/PINT%20Website%E4%BF%AE%E6%AD%A3%202%E4%BA%BA%E3%82%B3%E3%83%BC%E3%83%81%E6%8B%85%E5%BD%93%E5%89%8A%E9%99%A4%209d8b4a8a27f14aa59c53fa061c97c605.md), PINT Website修正 (../DB_%E3%83%97%E3%83%AD%E3%82%B8%E3%82%A7%E3%82%AF%E3%83%88/PINT%20Website%E4%BF%AE%E6%AD%A3%20b411dd577ef6453bad2333524de3cd96.md)",,,,
Facebook設置　説明,"Book Mark, work notes",,2023年7月19日 17:32,https://start-biz.net/facebook-in-wordpress/,PINTOTENNIS (PINTOTENNIS%2028cbbe711faf48ebb5b6d8c4a4a7d894.md),,"PINT Website修正　2人コーチ担当削除 (../DB_%E3%83%97%E3%83%AD%E3%82%B8%E3%82%A7%E3%82%AF%E3%83%88/PINT%20Website%E4%BF%AE%E6%AD%A3%202%E4%BA%BA%E3%82%B3%E3%83%BC%E3%83%81%E6%8B%85%E5%BD%93%E5%89%8A%E9%99%A4%209d8b4a8a27f14aa59c53fa061c97c605.md), PINT Website修正 (../DB_%E3%83%97%E3%83%AD%E3%82%B8%E3%82%A7%E3%82%AF%E3%83%88/PINT%20Website%E4%BF%AE%E6%AD%A3%20b411dd577ef6453bad2333524de3cd96.md)",,,,
All-in-One WP Migrationのサイズ限界なし,,,2023年7月16日 16:55,https://www.caliberelectronics.com/all-in-one-wp-migration/#free-1,PINTOTENNIS (PINTOTENNIS%2028cbbe711faf48ebb5b6d8c4a4a7d894.md),ULRは参考ページ,"PINT Website修正　2人コーチ担当削除 (../DB_%E3%83%97%E3%83%AD%E3%82%B8%E3%82%A7%E3%82%AF%E3%83%88/PINT%20Website%E4%BF%AE%E6%AD%A3%202%E4%BA%BA%E3%82%B3%E3%83%BC%E3%83%81%E6%8B%85%E5%BD%93%E5%89%8A%E9%99%A4%209d8b4a8a27f14aa59c53fa061c97c605.md), PINT Website修正 (../DB_%E3%83%97%E3%83%AD%E3%82%B8%E3%82%A7%E3%82%AF%E3%83%88/PINT%20Website%E4%BF%AE%E6%AD%A3%20b411dd577ef6453bad2333524de3cd96.md)",,,,
PINT TC Facbookタイムライン設置コード：CSSで設定,,,2023年7月16日 16:34,,PINTOTENNIS (PINTOTENNIS%2028cbbe711faf48ebb5b6d8c4a4a7d894.md),Facbookタイムライン設置コードの最新（高さの修正前）,"PINT Website修正　2人コーチ担当削除 (../DB_%E3%83%97%E3%83%AD%E3%82%B8%E3%82%A7%E3%82%AF%E3%83%88/PINT%20Website%E4%BF%AE%E6%AD%A3%202%E4%BA%BA%E3%82%B3%E3%83%BC%E3%83%81%E6%8B%85%E5%BD%93%E5%89%8A%E9%99%A4%209d8b4a8a27f14aa59c53fa061c97c605.md), PINT Website修正 (../DB_%E3%83%97%E3%83%AD%E3%82%B8%E3%82%A7%E3%82%AF%E3%83%88/PINT%20Website%E4%BF%AE%E6%AD%A3%20b411dd577ef6453bad2333524de3cd96.md)",,,,
