名前,タグ,Category,書類制作日付,URL,クライアント,テキスト,プロジェクト,備考,実施予定日,"日付 ",重要度
"新規名刺デザイン,ora",,work notes,2025年4月7日 15:34,,川本さん (%E5%B7%9D%E6%9C%AC%E3%81%95%E3%82%93%201598e921c5e149dba0e59df7bbb35b44.md),,川本さん新規名刺 (../DB_%E3%83%97%E3%83%AD%E3%82%B8%E3%82%A7%E3%82%AF%E3%83%88/%E5%B7%9D%E6%9C%AC%E3%81%95%E3%82%93%E6%96%B0%E8%A6%8F%E5%90%8D%E5%88%BA%201ce5cc0e3e5080e1b6b8f175408d45c0.md),,,,★★★
ハレちゃん修正,"work notes, 情報",work notes,2025年1月15日 15:30,,川本さん (%E5%B7%9D%E6%9C%AC%E3%81%95%E3%82%93%201598e921c5e149dba0e59df7bbb35b44.md),,こころの相談室HARUプロジェクト (../DB_%E3%83%97%E3%83%AD%E3%82%B8%E3%82%A7%E3%82%AF%E3%83%88/%E3%81%93%E3%81%93%E3%82%8D%E3%81%AE%E7%9B%B8%E8%AB%87%E5%AE%A4HARU%E3%83%97%E3%83%AD%E3%82%B8%E3%82%A7%E3%82%AF%E3%83%88%201755cc0e3e508068b2d5fbfbf8b9eff8.md),,,2025/01/15,
ちいかわとサンリオキャラクターのイメージ比較,,,2025年1月10日 18:01,,川本さん (%E5%B7%9D%E6%9C%AC%E3%81%95%E3%82%93%201598e921c5e149dba0e59df7bbb35b44.md),,こころの相談室HARUプロジェクト (../DB_%E3%83%97%E3%83%AD%E3%82%B8%E3%82%A7%E3%82%AF%E3%83%88/%E3%81%93%E3%81%93%E3%82%8D%E3%81%AE%E7%9B%B8%E8%AB%87%E5%AE%A4HARU%E3%83%97%E3%83%AD%E3%82%B8%E3%82%A7%E3%82%AF%E3%83%88%201755cc0e3e508068b2d5fbfbf8b9eff8.md),,,,
手伝うことのモヤりの分析と改善,,,2025年1月9日 10:58,,川本さん (%E5%B7%9D%E6%9C%AC%E3%81%95%E3%82%93%201598e921c5e149dba0e59df7bbb35b44.md),,こころの相談室HARUプロジェクト (../DB_%E3%83%97%E3%83%AD%E3%82%B8%E3%82%A7%E3%82%AF%E3%83%88/%E3%81%93%E3%81%93%E3%82%8D%E3%81%AE%E7%9B%B8%E8%AB%87%E5%AE%A4HARU%E3%83%97%E3%83%AD%E3%82%B8%E3%82%A7%E3%82%AF%E3%83%88%201755cc0e3e508068b2d5fbfbf8b9eff8.md),,,,
名刺のキャッチコピー,,,2025年4月16日 1:08,,川本さん (%E5%B7%9D%E6%9C%AC%E3%81%95%E3%82%93%201598e921c5e149dba0e59df7bbb35b44.md),,川本さん新規名刺 (../DB_%E3%83%97%E3%83%AD%E3%82%B8%E3%82%A7%E3%82%AF%E3%83%88/%E5%B7%9D%E6%9C%AC%E3%81%95%E3%82%93%E6%96%B0%E8%A6%8F%E5%90%8D%E5%88%BA%201ce5cc0e3e5080e1b6b8f175408d45c0.md),,,,
プライク名刺　見積もり,"work notes, 情報",見積もり,2025年5月5日 17:37,,川本さん (%E5%B7%9D%E6%9C%AC%E3%81%95%E3%82%93%201598e921c5e149dba0e59df7bbb35b44.md),プライク名刺見積もり　銀箔押し / 白,川本さん新規名刺 (../DB_%E3%83%97%E3%83%AD%E3%82%B8%E3%82%A7%E3%82%AF%E3%83%88/%E5%B7%9D%E6%9C%AC%E3%81%95%E3%82%93%E6%96%B0%E8%A6%8F%E5%90%8D%E5%88%BA%201ce5cc0e3e5080e1b6b8f175408d45c0.md),,,,
2025年11月16日 ミーティング,,Meeting memo,2025年11月16日 14:43,,川本さん (%E5%B7%9D%E6%9C%AC%E3%81%95%E3%82%93%201598e921c5e149dba0e59df7bbb35b44.md),,川本さん開運・集客 プロジェクト (../DB_%E3%83%97%E3%83%AD%E3%82%B8%E3%82%A7%E3%82%AF%E3%83%88/%E5%B7%9D%E6%9C%AC%E3%81%95%E3%82%93%E9%96%8B%E9%81%8B%E3%83%BB%E9%9B%86%E5%AE%A2%20%E3%83%97%E3%83%AD%E3%82%B8%E3%82%A7%E3%82%AF%E3%83%88%202ad5cc0e3e5080afbd27cb84d619ef39.md),,,,
集客Gem作成アンケート,,work notes,2025年12月22日 12:15,,川本さん (%E5%B7%9D%E6%9C%AC%E3%81%95%E3%82%93%201598e921c5e149dba0e59df7bbb35b44.md),,川本さん開運・集客 プロジェクト (../DB_%E3%83%97%E3%83%AD%E3%82%B8%E3%82%A7%E3%82%AF%E3%83%88/%E5%B7%9D%E6%9C%AC%E3%81%95%E3%82%93%E9%96%8B%E9%81%8B%E3%83%BB%E9%9B%86%E5%AE%A2%20%E3%83%97%E3%83%AD%E3%82%B8%E3%82%A7%E3%82%AF%E3%83%88%202ad5cc0e3e5080afbd27cb84d619ef39.md),,,,
PROGRESS集客用 ペルソナ,"AI, work notes",work notes,2025年12月24日 14:19,,川本さん (%E5%B7%9D%E6%9C%AC%E3%81%95%E3%82%93%201598e921c5e149dba0e59df7bbb35b44.md),,川本さん開運・集客 プロジェクト (../DB_%E3%83%97%E3%83%AD%E3%82%B8%E3%82%A7%E3%82%AF%E3%83%88/%E5%B7%9D%E6%9C%AC%E3%81%95%E3%82%93%E9%96%8B%E9%81%8B%E3%83%BB%E9%9B%86%E5%AE%A2%20%E3%83%97%E3%83%AD%E3%82%B8%E3%82%A7%E3%82%AF%E3%83%88%202ad5cc0e3e5080afbd27cb84d619ef39.md),,,,
2025年12月29日ZOOM,meeting notes,Meeting memo,2025年12月29日 14:05,,川本さん (%E5%B7%9D%E6%9C%AC%E3%81%95%E3%82%93%201598e921c5e149dba0e59df7bbb35b44.md),,川本さん開運・集客 プロジェクト (../DB_%E3%83%97%E3%83%AD%E3%82%B8%E3%82%A7%E3%82%AF%E3%83%88/%E5%B7%9D%E6%9C%AC%E3%81%95%E3%82%93%E9%96%8B%E9%81%8B%E3%83%BB%E9%9B%86%E5%AE%A2%20%E3%83%97%E3%83%AD%E3%82%B8%E3%82%A7%E3%82%AF%E3%83%88%202ad5cc0e3e5080afbd27cb84d619ef39.md),,,,
ＤＲＳ集客用 Gem ペルソナ,"AI, work notes",work notes,2026年1月6日 11:23,,川本さん (%E5%B7%9D%E6%9C%AC%E3%81%95%E3%82%93%201598e921c5e149dba0e59df7bbb35b44.md),,川本さん開運・集客 プロジェクト (../DB_%E3%83%97%E3%83%AD%E3%82%B8%E3%82%A7%E3%82%AF%E3%83%88/%E5%B7%9D%E6%9C%AC%E3%81%95%E3%82%93%E9%96%8B%E9%81%8B%E3%83%BB%E9%9B%86%E5%AE%A2%20%E3%83%97%E3%83%AD%E3%82%B8%E3%82%A7%E3%82%AF%E3%83%88%202ad5cc0e3e5080afbd27cb84d619ef39.md),,,2026/01/06,
DRS集客用Gem 作成,"AI, プロンプト, マーケティング",,2026年1月6日 11:33,,川本さん (%E5%B7%9D%E6%9C%AC%E3%81%95%E3%82%93%201598e921c5e149dba0e59df7bbb35b44.md),,川本さん開運・集客 プロジェクト (../DB_%E3%83%97%E3%83%AD%E3%82%B8%E3%82%A7%E3%82%AF%E3%83%88/%E5%B7%9D%E6%9C%AC%E3%81%95%E3%82%93%E9%96%8B%E9%81%8B%E3%83%BB%E9%9B%86%E5%AE%A2%20%E3%83%97%E3%83%AD%E3%82%B8%E3%82%A7%E3%82%AF%E3%83%88%202ad5cc0e3e5080afbd27cb84d619ef39.md),,,2026/01/06,
AIによる、Gem作成の川本さんへのアンケート,"AI, マーケティング",,2026年1月6日 14:06,,川本さん (%E5%B7%9D%E6%9C%AC%E3%81%95%E3%82%93%201598e921c5e149dba0e59df7bbb35b44.md),,川本さん開運・集客 プロジェクト (../DB_%E3%83%97%E3%83%AD%E3%82%B8%E3%82%A7%E3%82%AF%E3%83%88/%E5%B7%9D%E6%9C%AC%E3%81%95%E3%82%93%E9%96%8B%E9%81%8B%E3%83%BB%E9%9B%86%E5%AE%A2%20%E3%83%97%E3%83%AD%E3%82%B8%E3%82%A7%E3%82%AF%E3%83%88%202ad5cc0e3e5080afbd27cb84d619ef39.md),,,2026/01/06,
2025年02月15日 MTG音声まとめ,"meeting notes, アイデア, 勉強会・講座, 戦略",Meeting memo,2026年2月14日 17:11,,川本さん (%E5%B7%9D%E6%9C%AC%E3%81%95%E3%82%93%201598e921c5e149dba0e59df7bbb35b44.md),,川本さん開運・集客 プロジェクト (../DB_%E3%83%97%E3%83%AD%E3%82%B8%E3%82%A7%E3%82%AF%E3%83%88/%E5%B7%9D%E6%9C%AC%E3%81%95%E3%82%93%E9%96%8B%E9%81%8B%E3%83%BB%E9%9B%86%E5%AE%A2%20%E3%83%97%E3%83%AD%E3%82%B8%E3%82%A7%E3%82%AF%E3%83%88%202ad5cc0e3e5080afbd27cb84d619ef39.md),,,2026/02/17,
