名前,重要度,タグ,Category,書類制作日付,プロジェクト,"日付 "
SEOのための文字削除の見積もり,,"HP, WP, work notes, 修正",見積もり,2023年5月30日 19:07,,
改善事例 スクール案内リンク修正,,,請求関連,2023年7月23日 18:37,,2023/07/23
改善事例 スクール案内リンク修正 差し替え内容,,,work notes,2023年7月26日 17:09,,
サーバー移動,,"HP, WP, work notes",work notes,2023年9月11日 15:04,,
公式LINEの機能と提案したLINE集客,,,work notes,2024年4月21日 20:03,,
そらのAIによる治療説明,,"HP, アイデア, 修正",work notes,2024年5月20日 17:47,そら集客アップ作戦 (../DB_%E3%83%97%E3%83%AD%E3%82%B8%E3%82%A7%E3%82%AF%E3%83%88/%E3%81%9D%E3%82%89%E9%9B%86%E5%AE%A2%E3%82%A2%E3%83%83%E3%83%97%E4%BD%9C%E6%88%A6%208831ff59e50444f084c1dec100bbd639.md),
集客プラン①　詳細,,"HP, WP, 修正",work notes,2024年5月21日 16:37,そら集客アップ作戦 (../DB_%E3%83%97%E3%83%AD%E3%82%B8%E3%82%A7%E3%82%AF%E3%83%88/%E3%81%9D%E3%82%89%E9%9B%86%E5%AE%A2%E3%82%A2%E3%83%83%E3%83%97%E4%BD%9C%E6%88%A6%208831ff59e50444f084c1dec100bbd639.md),
集客プラン案　アイデア,,,,2024年5月26日 17:30,そら集客アップ作戦 (../DB_%E3%83%97%E3%83%AD%E3%82%B8%E3%82%A7%E3%82%AF%E3%83%88/%E3%81%9D%E3%82%89%E9%9B%86%E5%AE%A2%E3%82%A2%E3%83%83%E3%83%97%E4%BD%9C%E6%88%A6%208831ff59e50444f084c1dec100bbd639.md),
集客プラン案,,,,2024年5月29日 17:39,そら集客アップ作戦 (../DB_%E3%83%97%E3%83%AD%E3%82%B8%E3%82%A7%E3%82%AF%E3%83%88/%E3%81%9D%E3%82%89%E9%9B%86%E5%AE%A2%E3%82%A2%E3%83%83%E3%83%97%E4%BD%9C%E6%88%A6%208831ff59e50444f084c1dec100bbd639.md),
営業時間修正　見積もり,,"HP, WP, work notes, 修正",請求関連,2024年5月30日 13:09,,2024/05/08
ヘッダーに予約・電話ボタン設置　見積もり,,"HP, WP, work notes, 修正",請求関連,2024年5月30日 13:13,,2024/05/08
群馬引っ越しに伴うHP修正見積もり,,"HP, WP, work notes, 修正, 情報",請求関連,2024年6月23日 14:33,「空」住所変更、メニュー追加 プロジェクト (../DB_%E3%83%97%E3%83%AD%E3%82%B8%E3%82%A7%E3%82%AF%E3%83%88/%E3%80%8C%E7%A9%BA%E3%80%8D%E4%BD%8F%E6%89%80%E5%A4%89%E6%9B%B4%E3%80%81%E3%83%A1%E3%83%8B%E3%83%A5%E3%83%BC%E8%BF%BD%E5%8A%A0%20%E3%83%97%E3%83%AD%E3%82%B8%E3%82%A7%E3%82%AF%E3%83%88%209a807e4359b64a0fb15cb6c51f84d8e0.md),
5月福岡市内引越に伴う住所変更のHP修正メモ,,"HP, WP",見積もり,2024年6月23日 15:29,「空」住所変更、メニュー追加 プロジェクト (../DB_%E3%83%97%E3%83%AD%E3%82%B8%E3%82%A7%E3%82%AF%E3%83%88/%E3%80%8C%E7%A9%BA%E3%80%8D%E4%BD%8F%E6%89%80%E5%A4%89%E6%9B%B4%E3%80%81%E3%83%A1%E3%83%8B%E3%83%A5%E3%83%BC%E8%BF%BD%E5%8A%A0%20%E3%83%97%E3%83%AD%E3%82%B8%E3%82%A7%E3%82%AF%E3%83%88%209a807e4359b64a0fb15cb6c51f84d8e0.md),
