名前,URL,クライアント,ステータス,プロジェクト,作成日時,備考,内容説明,実施予定日,重要度
,,,Not Started,,2023年5月18日 16:56,,,2022年11月28日,
アンバサダータスクA,,,Not Started,,2023年5月18日 16:56,,,2023年5月13日,
タスク,,,Not Started,,2023年5月18日 16:56,,,2023年2月15日,
タスクB,,,Not Started,,2023年5月18日 16:56,,,,💫 いつかやる・たぶんやる
アンバサダータスクD,,,Not Started,,2023年5月18日 16:56,,,2022年11月28日,
テキストを軽く一周する,,,Not Started,,2023年5月18日 16:56,,,2022年12月9日,
TASKA,,,Not Started,,2023年5月18日 16:56,,,2022年12月11日,
新しい椅子を買う,,,Not Started,,2023年5月18日 16:56,,,2022年12月1日,
タスクA,,,Not Started,,2023年5月18日 16:56,,,2023年2月15日,▶️ 次に取るべき行動リスト
HP、WP構築後の設定、プラグインリスト、工程をmemo,,,Not Started,,2023年5月18日 17:13,,,,💫 いつかやる・たぶんやる
二重チェックの作業内容をWP作業memoに入れる,,,Not Started,,2023年5月18日 17:14,,,,💫 いつかやる・たぶんやる
Todoリスト管理を理解,,,Not Started,,2023年5月18日 17:53,,,,💫 いつかやる・たぶんやる
,,,Not Started,,2023年5月19日 13:27,,,,💫 いつかやる・たぶんやる
WPのプラグイン名一覧をDB作る,,SUNNYSH (https://app.notion.com/p/08d06c9684c3467ba3373ef7768d2323?pvs=21),Not Started,Notion を使いながらおぼえる (https://app.notion.com/p/1a495a1c8efa4cb196578060c7821ec0?pvs=21),2023年5月19日 13:28,,,,💫 いつかやる・たぶんやる
DAOの説明資料を作る,,SUNNYSH (https://app.notion.com/p/08d06c9684c3467ba3373ef7768d2323?pvs=21),Not Started,DAO的スキル交換 project (https://app.notion.com/p/15d2408ae079435d91cbed49e8e85f1c?pvs=21),2023年5月19日 16:58,,,,💫 いつかやる・たぶんやる
プロンプトの情報をまとめる,,SUNNYSH (https://app.notion.com/p/08d06c9684c3467ba3373ef7768d2323?pvs=21),Completion,AIをより効率的に使えるようにる (https://app.notion.com/p/349fbefc06e2442abed11a3c8a217142?pvs=21),2023年5月19日 19:27,,,,💫 いつかやる・たぶんやる
本を借り読書「知的戦闘力を高める独学の技法 / 山口周」,,SUNNYSH (https://app.notion.com/p/08d06c9684c3467ba3373ef7768d2323?pvs=21),Completion,Notion を使いながらおぼえる (https://app.notion.com/p/1a495a1c8efa4cb196578060c7821ec0?pvs=21),2023年5月21日 18:42,,,,💫 いつかやる・たぶんやる
WP制作で毎回入れるプラグインをまとめる,,SUNNYSH (https://app.notion.com/p/08d06c9684c3467ba3373ef7768d2323?pvs=21),Not Started,Notion を使いながらおぼえる (https://app.notion.com/p/1a495a1c8efa4cb196578060c7821ec0?pvs=21),2023年5月21日 18:48,,,,💫 いつかやる・たぶんやる
Synced Blockをマスター,,SUNNYSH (https://app.notion.com/p/08d06c9684c3467ba3373ef7768d2323?pvs=21),Completion,Notion を使いながらおぼえる (https://app.notion.com/p/1a495a1c8efa4cb196578060c7821ec0?pvs=21),2023年5月22日 12:33,ページ内の一部のブロック群を別ページにも同期させ表示,,,💫 いつかやる・たぶんやる
これはどこに行くか？,,,Not Started,,2023年5月24日 19:31,,,2023年5月24日,
散髪,,,Not Started,,2023年5月25日 11:00,,,2023年5月25日,▶️ 次に取るべき行動リスト
メタバース内の広告収入を運営に使う,,SUNNYSH (https://app.notion.com/p/08d06c9684c3467ba3373ef7768d2323?pvs=21),Not Started,DAO的スキル交換 project (https://app.notion.com/p/15d2408ae079435d91cbed49e8e85f1c?pvs=21),2023年5月25日 11:32,,,,
文章見本URL,,,Completion,伊藤事務所さん家族信託ページ追加 (https://app.notion.com/p/637b11d2de7b4da6a9d8a6f5c2960641?pvs=21),2023年5月25日 15:49,,,,
家族信託の利用例を決める,,,Completion,伊藤事務所さん家族信託ページ追加 (https://app.notion.com/p/637b11d2de7b4da6a9d8a6f5c2960641?pvs=21),2023年5月27日 9:30,,,2023年5月27日,
HP構築SEO対策、集客動画をみる,,SUNNYSH (https://app.notion.com/p/08d06c9684c3467ba3373ef7768d2323?pvs=21),Completion,宇宙・開運 講座 project (https://app.notion.com/p/daface4215604a0eaed690559d58040c?pvs=21),2023年5月27日 13:05,,,,
プロンプト集をどうDBにするか決める,,,Completion,AIをより効率的に使えるようにる (https://app.notion.com/p/349fbefc06e2442abed11a3c8a217142?pvs=21),2023年6月1日 13:05,,,2023年6月2日,💫 いつかやる・たぶんやる
Canva AIについてマナブ,https://www.youtube.com/watch?v=aoBdrUmfNvY&t=1902s,SUNNYSH (https://app.notion.com/p/08d06c9684c3467ba3373ef7768d2323?pvs=21),Not Started,AIについて学ぶ (https://app.notion.com/p/daa792d0d762495c8a6a23c9bb606a51?pvs=21),2023年6月3日 9:53,,,2023年9月7日,💫 いつかやる・たぶんやる
notionメモアプリ入れて設定「Instant Notion」,https://note.com/kanri_no_yamada/n/nbb7608a5e58f,SUNNYSH (https://app.notion.com/p/08d06c9684c3467ba3373ef7768d2323?pvs=21),Completion,Notion を使いながらおぼえる (https://app.notion.com/p/1a495a1c8efa4cb196578060c7821ec0?pvs=21),2023年6月4日 11:30,,,,💫 いつかやる・たぶんやる
超特化ブログの始め方と作り方完全講義,https://www.youtube.com/watch?v=zP36Hr8gv_E,,Not Started,,2023年6月4日 13:20,,,2023年6月6日,💫 いつかやる・たぶんやる
ペッパーショート動画をダウンロード,,,Not Started,FXで資産運用 (https://app.notion.com/p/69c8fce86f064f96a0599e9fed8e81e8?pvs=21),2023年6月5日 12:23,,,,
