名前,タグ,Category,書類制作日付,URL,クライアント,テキスト,プロジェクト,備考,実施予定日,"日付 ",重要度
"変更について：HG会社紹介 ",,,2025年3月29日 15:32,,HYUNG GEUN Japan (../DB_%E3%82%AF%E3%83%A9%E3%82%A4%E3%82%A2%E3%83%B3%E3%83%88%E3%83%BB%E3%83%93%E3%82%B8%E3%83%8D%E3%82%B9/HYUNG%20GEUN%20Japan%201b25cc0e3e508033842cd52683ea771c.md),,HG会社紹介パンフ (HG%E4%BC%9A%E7%A4%BE%E7%B4%B9%E4%BB%8B%E3%83%91%E3%83%B3%E3%83%95%201b25cc0e3e5080b4af30de0c917ccbd9.md),,,,
"ドメイン・メール：HG会社紹介 ",work notes,work notes,2025年3月20日 22:33,,HYUNG GEUN Japan (../DB_%E3%82%AF%E3%83%A9%E3%82%A4%E3%82%A2%E3%83%B3%E3%83%88%E3%83%BB%E3%83%93%E3%82%B8%E3%83%8D%E3%82%B9/HYUNG%20GEUN%20Japan%201b25cc0e3e508033842cd52683ea771c.md),,HG会社紹介パンフ (HG%E4%BC%9A%E7%A4%BE%E7%B4%B9%E4%BB%8B%E3%83%91%E3%83%B3%E3%83%95%201b25cc0e3e5080b4af30de0c917ccbd9.md),,,,
"質問：HG会社紹介 ",work notes,work notes,2025年3月21日 17:09,,HYUNG GEUN Japan (../DB_%E3%82%AF%E3%83%A9%E3%82%A4%E3%82%A2%E3%83%B3%E3%83%88%E3%83%BB%E3%83%93%E3%82%B8%E3%83%8D%E3%82%B9/HYUNG%20GEUN%20Japan%201b25cc0e3e508033842cd52683ea771c.md),,HG会社紹介パンフ (HG%E4%BC%9A%E7%A4%BE%E7%B4%B9%E4%BB%8B%E3%83%91%E3%83%B3%E3%83%95%201b25cc0e3e5080b4af30de0c917ccbd9.md),,,,
"コンセプトページ：HG会社紹介 ",work notes,work notes,2025年3月21日 14:47,,HYUNG GEUN Japan (../DB_%E3%82%AF%E3%83%A9%E3%82%A4%E3%82%A2%E3%83%B3%E3%83%88%E3%83%BB%E3%83%93%E3%82%B8%E3%83%8D%E3%82%B9/HYUNG%20GEUN%20Japan%201b25cc0e3e508033842cd52683ea771c.md),,HG会社紹介パンフ (HG%E4%BC%9A%E7%A4%BE%E7%B4%B9%E4%BB%8B%E3%83%91%E3%83%B3%E3%83%95%201b25cc0e3e5080b4af30de0c917ccbd9.md),,,,
"中ページデザイン確認：HG会社紹介 ",work notes,work notes,2025年3月20日 22:43,,HYUNG GEUN Japan (../DB_%E3%82%AF%E3%83%A9%E3%82%A4%E3%82%A2%E3%83%B3%E3%83%88%E3%83%BB%E3%83%93%E3%82%B8%E3%83%8D%E3%82%B9/HYUNG%20GEUN%20Japan%201b25cc0e3e508033842cd52683ea771c.md),,HG会社紹介パンフ (HG%E4%BC%9A%E7%A4%BE%E7%B4%B9%E4%BB%8B%E3%83%91%E3%83%B3%E3%83%95%201b25cc0e3e5080b4af30de0c917ccbd9.md),,,,
"ページネーション確認：HG会社紹介 ",work notes,work notes,2025年3月14日 11:35,,HYUNG GEUN Japan (../DB_%E3%82%AF%E3%83%A9%E3%82%A4%E3%82%A2%E3%83%B3%E3%83%88%E3%83%BB%E3%83%93%E3%82%B8%E3%83%8D%E3%82%B9/HYUNG%20GEUN%20Japan%201b25cc0e3e508033842cd52683ea771c.md),,HG会社紹介パンフ (HG%E4%BC%9A%E7%A4%BE%E7%B4%B9%E4%BB%8B%E3%83%91%E3%83%B3%E3%83%95%201b25cc0e3e5080b4af30de0c917ccbd9.md),,,2025/03/17,
"表紙デザイン確認：HG会社紹介 ",work notes,work notes,2025年3月17日 15:51,,HYUNG GEUN Japan (../DB_%E3%82%AF%E3%83%A9%E3%82%A4%E3%82%A2%E3%83%B3%E3%83%88%E3%83%BB%E3%83%93%E3%82%B8%E3%83%8D%E3%82%B9/HYUNG%20GEUN%20Japan%201b25cc0e3e508033842cd52683ea771c.md),,HG会社紹介パンフ (HG%E4%BC%9A%E7%A4%BE%E7%B4%B9%E4%BB%8B%E3%83%91%E3%83%B3%E3%83%95%201b25cc0e3e5080b4af30de0c917ccbd9.md),,,,
キャッチコピー：HG会社紹介,work notes,work notes,2025年3月13日 15:00,,HYUNG GEUN Japan (../DB_%E3%82%AF%E3%83%A9%E3%82%A4%E3%82%A2%E3%83%B3%E3%83%88%E3%83%BB%E3%83%93%E3%82%B8%E3%83%8D%E3%82%B9/HYUNG%20GEUN%20Japan%201b25cc0e3e508033842cd52683ea771c.md),,HG会社紹介パンフ (HG%E4%BC%9A%E7%A4%BE%E7%B4%B9%E4%BB%8B%E3%83%91%E3%83%B3%E3%83%95%201b25cc0e3e5080b4af30de0c917ccbd9.md),,,,
質問メモ：HG会社紹介  - 2025-03-10 -,work notes,work notes,2025年3月10日 14:49,,HYUNG GEUN Japan (../DB_%E3%82%AF%E3%83%A9%E3%82%A4%E3%82%A2%E3%83%B3%E3%83%88%E3%83%BB%E3%83%93%E3%82%B8%E3%83%8D%E3%82%B9/HYUNG%20GEUN%20Japan%201b25cc0e3e508033842cd52683ea771c.md),,HG会社紹介パンフ (HG%E4%BC%9A%E7%A4%BE%E7%B4%B9%E4%BB%8B%E3%83%91%E3%83%B3%E3%83%95%201b25cc0e3e5080b4af30de0c917ccbd9.md),,,2025/03/10,
質問メモ：HG会社紹介 - 2025-03-12 -,work notes,work notes,2025年3月12日 13:37,,HYUNG GEUN Japan (../DB_%E3%82%AF%E3%83%A9%E3%82%A4%E3%82%A2%E3%83%B3%E3%83%88%E3%83%BB%E3%83%93%E3%82%B8%E3%83%8D%E3%82%B9/HYUNG%20GEUN%20Japan%201b25cc0e3e508033842cd52683ea771c.md),,HG会社紹介パンフ (HG%E4%BC%9A%E7%A4%BE%E7%B4%B9%E4%BB%8B%E3%83%91%E3%83%B3%E3%83%95%201b25cc0e3e5080b4af30de0c917ccbd9.md),,,2025/03/12,
