名前,タグ,Category,書類制作日付,URL,クライアント,テキスト,プロジェクト,備考,"日付 ",実施予定日,重要度
グエンさんが何をしたいかわからない問題,"Problem, アイデア, 学び, 気付き",,2024年10月19日 15:27,,SUNNYSH (../DB_%E3%82%AF%E3%83%A9%E3%82%A4%E3%82%A2%E3%83%B3%E3%83%88%E3%83%BB%E3%83%93%E3%82%B8%E3%83%8D%E3%82%B9/SUNNYSH%2008d06c9684c3467ba3373ef7768d2323.md),,グエンさん勉強会 (%E3%82%B0%E3%82%A8%E3%83%B3%E3%81%95%E3%82%93%E5%8B%89%E5%BC%B7%E4%BC%9A%2090e565e69ac74fc0ac9c8bca47684af8.md),,,,
12月24日　勉強会,,,2024年9月28日 13:08,,SUNNYSH (../DB_%E3%82%AF%E3%83%A9%E3%82%A4%E3%82%A2%E3%83%B3%E3%83%88%E3%83%BB%E3%83%93%E3%82%B8%E3%83%8D%E3%82%B9/SUNNYSH%2008d06c9684c3467ba3373ef7768d2323.md),,グエンさん勉強会 (%E3%82%B0%E3%82%A8%E3%83%B3%E3%81%95%E3%82%93%E5%8B%89%E5%BC%B7%E4%BC%9A%2090e565e69ac74fc0ac9c8bca47684af8.md),,2024/12/24,,
10月15日　勉強会,,,2024年12月21日 9:40,,SUNNYSH (../DB_%E3%82%AF%E3%83%A9%E3%82%A4%E3%82%A2%E3%83%B3%E3%83%88%E3%83%BB%E3%83%93%E3%82%B8%E3%83%8D%E3%82%B9/SUNNYSH%2008d06c9684c3467ba3373ef7768d2323.md),,グエンさん勉強会 (%E3%82%B0%E3%82%A8%E3%83%B3%E3%81%95%E3%82%93%E5%8B%89%E5%BC%B7%E4%BC%9A%2090e565e69ac74fc0ac9c8bca47684af8.md),,2024/10/15,,
10月01日　勉強会,,,2024年9月30日 15:23,,SUNNYSH (../DB_%E3%82%AF%E3%83%A9%E3%82%A4%E3%82%A2%E3%83%B3%E3%83%88%E3%83%BB%E3%83%93%E3%82%B8%E3%83%8D%E3%82%B9/SUNNYSH%2008d06c9684c3467ba3373ef7768d2323.md),,グエンさん勉強会 (%E3%82%B0%E3%82%A8%E3%83%B3%E3%81%95%E3%82%93%E5%8B%89%E5%BC%B7%E4%BC%9A%2090e565e69ac74fc0ac9c8bca47684af8.md),,2024/10/01,,
【課題】禅と日本文化を読んで、芭蕉の詩の意味を理解,,,2024年9月17日 16:46,,SUNNYSH (../DB_%E3%82%AF%E3%83%A9%E3%82%A4%E3%82%A2%E3%83%B3%E3%83%88%E3%83%BB%E3%83%93%E3%82%B8%E3%83%8D%E3%82%B9/SUNNYSH%2008d06c9684c3467ba3373ef7768d2323.md),,グエンさん勉強会 (%E3%82%B0%E3%82%A8%E3%83%B3%E3%81%95%E3%82%93%E5%8B%89%E5%BC%B7%E4%BC%9A%2090e565e69ac74fc0ac9c8bca47684af8.md),,,,
メモ,,,2024年9月10日 12:33,,SUNNYSH (../DB_%E3%82%AF%E3%83%A9%E3%82%A4%E3%82%A2%E3%83%B3%E3%83%88%E3%83%BB%E3%83%93%E3%82%B8%E3%83%8D%E3%82%B9/SUNNYSH%2008d06c9684c3467ba3373ef7768d2323.md),,グエンさん勉強会 (%E3%82%B0%E3%82%A8%E3%83%B3%E3%81%95%E3%82%93%E5%8B%89%E5%BC%B7%E4%BC%9A%2090e565e69ac74fc0ac9c8bca47684af8.md),,,,
09月23日 グエンさん勉強会 話題,"Service, アイデア, テスト, 情報, 気付き",,2024年9月4日 13:01,,SUNNYSH (../DB_%E3%82%AF%E3%83%A9%E3%82%A4%E3%82%A2%E3%83%B3%E3%83%88%E3%83%BB%E3%83%93%E3%82%B8%E3%83%8D%E3%82%B9/SUNNYSH%2008d06c9684c3467ba3373ef7768d2323.md),,グエンさん勉強会 (%E3%82%B0%E3%82%A8%E3%83%B3%E3%81%95%E3%82%93%E5%8B%89%E5%BC%B7%E4%BC%9A%2090e565e69ac74fc0ac9c8bca47684af8.md),,2024/09/17,,
引き寄せの法則とは？　これからは？,"コンテンツネタ, 学び, 情報",,2024年9月1日 16:52,,SUNNYSH (../DB_%E3%82%AF%E3%83%A9%E3%82%A4%E3%82%A2%E3%83%B3%E3%83%88%E3%83%BB%E3%83%93%E3%82%B8%E3%83%8D%E3%82%B9/SUNNYSH%2008d06c9684c3467ba3373ef7768d2323.md),,グエンさん勉強会 (%E3%82%B0%E3%82%A8%E3%83%B3%E3%81%95%E3%82%93%E5%8B%89%E5%BC%B7%E4%BC%9A%2090e565e69ac74fc0ac9c8bca47684af8.md),,,,
テクニカル分析とは？,"FX, コンテンツネタ, 学び, 情報",,2024年8月31日 23:53,,SUNNYSH (../DB_%E3%82%AF%E3%83%A9%E3%82%A4%E3%82%A2%E3%83%B3%E3%83%88%E3%83%BB%E3%83%93%E3%82%B8%E3%83%8D%E3%82%B9/SUNNYSH%2008d06c9684c3467ba3373ef7768d2323.md),,グエンさん勉強会 (%E3%82%B0%E3%82%A8%E3%83%B3%E3%81%95%E3%82%93%E5%8B%89%E5%BC%B7%E4%BC%9A%2090e565e69ac74fc0ac9c8bca47684af8.md),,,,
どうしたら勝てるか？　,"FX, コンテンツネタ, 学び, 情報",,2024年8月31日 23:59,,SUNNYSH (../DB_%E3%82%AF%E3%83%A9%E3%82%A4%E3%82%A2%E3%83%B3%E3%83%88%E3%83%BB%E3%83%93%E3%82%B8%E3%83%8D%E3%82%B9/SUNNYSH%2008d06c9684c3467ba3373ef7768d2323.md),,グエンさん勉強会 (%E3%82%B0%E3%82%A8%E3%83%B3%E3%81%95%E3%82%93%E5%8B%89%E5%BC%B7%E4%BC%9A%2090e565e69ac74fc0ac9c8bca47684af8.md),,,,
