名前,"日付 ",重要度,タグ,テキスト
心がブレたときの「潜在意識リセット・ルール」,2026/05/30,,,
本田健さん「人間関係のマトリックス」,2026/05/05,,"Service, 勉強会・講座, 資料",
潜在意識を弱める習慣集,2026/04/30,,,
用語集,2026/04/30,,,業界それぞれ、独自の言葉があり、わかりにくので、他者がわかるやすくするために、自分の言葉の指すものを定義する。
講座の方や、この開運の構造などの全容を理解する資料,2026/04/25,,,
川本さん開運勉強会,2026/04/07,,"勉強会・講座, 資料",
自己受容による充足状態の確立とシステム統合,2026/03/31,,,
川本さん開運勉強会,2026/03/25,,,
習慣化で自然と感謝・サレンダー・完璧,2026/03/05,★★★,"アイデア, コンテンツネタ, 勉強会・講座, 学び, 気付き, 習慣",
映画や漫画から学ぶ,2026/03/05,★★,"アイデア, コンテンツネタ, 勉強会・講座, 気付き, 習慣",
悟りによる仮想現実の未来創造のメモ,2026/02/14,★,"meeting notes, work notes, コンテンツネタ, 勉強会・講座, 情報, 資料",「私たちの世界の99%は実体のない空隙（磁場）であり、意識がその波動を書き換えることで、ホログラムとしての現実（未来）を再レンダリングできる」
ポポルームに行くために（心理の変容の2段階から3段階へ移行するために）,2025/12/29,,"Service, work notes, 勉強会・講座, 情報, 気付き, 資料",
川本さん開運説明 資料,2025/11/07,★★,,
山崎さんに講座紹介プロンプト,2025/08/27,,,
遠藤さん勉強会 2025/05/17,2025/05/17,★,勉強会・講座,
宇宙勉強 YouTube アイデア,2025/05/13,,,
遠藤さん勉強会 2025/05/10,2025/05/10,★,勉強会・講座,
川本さん講座 第04回目 開催未定,2025/05/07,,,
遠藤さん勉強会 2025/04/12,2025/04/12,★,勉強会・講座,
遠藤さん勉強会 2025/03/29,2025/03/29,★,勉強会・講座,
宇宙講座アンケート-考え方,2025/03/24,,,
川本さん講座 2025/03/24,2025/03/24,,"勉強会・講座, 学び",
遠藤さん勉強会 2025/03/22,2025/03/22,★,勉強会・講座,
宇宙講座アンケート,2025/03/22,,,
遠藤さん勉強会 2025/03/15,2025/03/15,★,勉強会・講座,
遠藤さん勉強会 2025/03/08,2025/03/08,★,勉強会・講座,
遠藤さん勉強会 2025/03/01,2025/03/01,★,勉強会・講座,
川本さん講座 第04回目 開催未定,2025/02/23,,"勉強会・講座, 学び",
