名前,タグ,テキスト,"日付 "
自分の夢（共感を得るオープンな夢）,"アイデア, コンテンツネタ, 情報",,
名前、コンセプト作りプロンプト-3,"アイデア, プロンプト",,
名前、コンセプト作りプロンプト-2,"アイデア, プロンプト",,
名前、コンセプト作りプロンプト-1,"アイデア, プロンプト",,
未来の地球はオタクだらけ,"work notes, アイデア",「マスではないオタク性を極めよ」の動画からの気付き,
自分の可愛げのあるウイークポイント,"work notes, アイデア",,
自分のブランディング全般について,アイデア,,
新しい時代の価値観が望むビジネスとは？,,,
誰に対して発信するか？,"work notes, アイデア",,
プロンプト-memo　自己紹介,,,
何を投稿していくかのコンセプト・ルール,"work notes, アイデア",,
SNSをどこで発信するか決める,"work notes, アイデア",,
Insta内で見て欲しい人と、見て欲しくない人を決める,,,
Instaで投稿してみて思ったこと,,,
SNSはFacebookもやるべきか？今のとこヤメ,,,
キャッチコピー,アイデア,,
ブランド構築のためのSNS発信の考え方　案,"work notes, アイデア",,
発信しない内容を決めるために→自分がどんな人間として発信したいか？,"work notes, アイデア",,2023/10/10
GTPによる ブランド構築 案（CHatGTP）,"work notes, アイデア",,
