名前,タグ,Category,書類制作日付,URL,クライアント,テキスト,プロジェクト,備考,実施予定日,"日付 ",重要度
心がブレたときの「潜在意識リセット・ルール」,,work notes,2026年5月30日 23:06,,SUNNYSH (https://app.notion.com/p/08d06c9684c3467ba3373ef7768d2323?pvs=21),,宇宙・開運 講座 project (https://app.notion.com/p/daface4215604a0eaed690559d58040c?pvs=21),,,2026/05/30,
本田健さん「人間関係のマトリックス」,"Service, 勉強会・講座, 資料",work notes,2026年5月4日 19:12,,SUNNYSH (https://app.notion.com/p/08d06c9684c3467ba3373ef7768d2323?pvs=21),,宇宙・開運 講座 project (https://app.notion.com/p/daface4215604a0eaed690559d58040c?pvs=21),,,2026/05/05,
5月 占い,,work notes,2026年5月1日 10:40,,SUNNYSH (https://app.notion.com/p/08d06c9684c3467ba3373ef7768d2323?pvs=21),,占いをもっと上手く (https://app.notion.com/p/2ba5cc0e3e50805d9979e69af6dd5322?pvs=21),,2025年12月9日,2026/05/01,
潜在意識を弱める習慣集,,work notes,2026年4月30日 12:23,,SUNNYSH (https://app.notion.com/p/08d06c9684c3467ba3373ef7768d2323?pvs=21),,宇宙・開運 講座 project (https://app.notion.com/p/daface4215604a0eaed690559d58040c?pvs=21),,,2026/04/30,
用語集,,work notes,2026年4月30日 12:22,,SUNNYSH (https://app.notion.com/p/08d06c9684c3467ba3373ef7768d2323?pvs=21),業界それぞれ、独自の言葉があり、わかりにくので、他者がわかるやすくするために、自分の言葉の指すものを定義する。,宇宙・開運 講座 project (https://app.notion.com/p/daface4215604a0eaed690559d58040c?pvs=21),,,2026/04/30,
講座の方や、この開運の構造などの全容を理解する資料,,work notes,2026年4月25日 11:10,,SUNNYSH (https://app.notion.com/p/08d06c9684c3467ba3373ef7768d2323?pvs=21),,宇宙・開運 講座 project (https://app.notion.com/p/daface4215604a0eaed690559d58040c?pvs=21),,,2026/04/25,
ゼウス申し込み用紙の記入,"HP, WP, work notes, 資料",work notes,2026年4月23日 23:50,,PRIZM｜坂田さん (https://app.notion.com/p/34b5cc0e3e5080eaa94ef6f2e9a9279a?pvs=21),,EC決済システム  ゼウスの設置 (https://app.notion.com/p/34b5cc0e3e5080af8811dff71fb77369?pvs=21),,,2026/04/23,
https://www.youtube.com/@kensho-san｜裁量なし低勝率、高リスクリワード、再現率高そうなガチガチ手法,,work notes,2026年4月22日 11:06,https://www.youtube.com/watch?v=6T5N___n7m4&t=1s,SUNNYSH (https://app.notion.com/p/08d06c9684c3467ba3373ef7768d2323?pvs=21),,FXで資産運用 (https://app.notion.com/p/69c8fce86f064f96a0599e9fed8e81e8?pvs=21),,,2026/04/22,
https://www.youtube.com/@kensho-san｜スキャル,,work notes,2026年4月20日 22:28,https://www.youtube.com/watch?v=ShSKHlv-jYg,SUNNYSH (https://app.notion.com/p/08d06c9684c3467ba3373ef7768d2323?pvs=21),,FXで資産運用 (https://app.notion.com/p/69c8fce86f064f96a0599e9fed8e81e8?pvs=21),,,2026/04/20,
https://www.youtube.com/@kensho-san｜裁量なし勝率60％リスクリワード1:2,,work notes,2026年4月20日 14:39,https://www.youtube.com/watch?v=G1RVY-M6HAY,SUNNYSH (https://app.notion.com/p/08d06c9684c3467ba3373ef7768d2323?pvs=21),,FXで資産運用 (https://app.notion.com/p/69c8fce86f064f96a0599e9fed8e81e8?pvs=21),,,2026/04/20,
