名前,タグ,マルチセレクト,作成日時,日付,更新されました,最終更新日時
YouTube異議申し立て　第三者,"YouTube, 異議申し立て, 著作権",,2015年1月15日 14:16,,2022年1月7日 13:14,2022年1月7日 13:14
韓国文字起こし,,,2020年4月2日 17:24,,2020年4月2日 17:31,2020年4月2日 17:31
練習2020年4月3日　韓国　不動産　崩壊加速,,,2020年4月3日 11:18,,2020年4月4日 15:21,2020年4月4日 15:21
練習2020年4月25日　半導体輸入,,,2020年4月9日 11:36,,2020年4月26日 14:24,2020年4月26日 14:24
動画ネタ元　サンプル,,,2020年4月9日 13:56,,2020年4月9日 13:56,2020年4月9日 13:56
原稿：小ネタ,,,2020年5月4日 21:28,,2020年5月16日 12:48,2020年5月16日 12:48
原稿：経済,,,2020年5月4日 21:28,,2020年5月16日 12:48,2020年5月16日 12:48
原稿：通貨スワップ,,,2020年5月4日 21:28,,2020年5月16日 12:48,2020年5月16日 12:48
20200517　原稿：経済,,,2020年5月9日 17:57,,2020年5月17日 17:17,2020年5月17日 17:17
ネタ　10大財閥と超格差社会,,,2020年5月9日 17:57,,2020年5月16日 12:47,2020年5月16日 12:47
原稿：経済　スラム街,,,2020年5月16日 12:38,,2020年5月16日 12:44,2020年5月16日 12:44
2020年5月22日　中国依存,,,2020年5月22日 10:30,,2020年5月24日 9:33,2020年5月24日 9:33
2020年5月22日　韓国の航空会社がヤバイ,,,2020年5月22日 11:17,,2020年5月22日 11:17,2020年5月22日 11:17
2020年5月30日　日本に支援物資で支援で、市長解任か？,,,2020年5月27日 11:19,,2020年5月30日 14:32,2020年5月30日 14:32
2022年09月27日,,,2020年6月1日 16:40,,2022年9月27日 14:28,2022年9月27日 14:28
2020年6月19日　給付金,,,2020年6月1日 16:40,,2020年6月19日 13:54,2020年6月19日 13:54
2022年10月15日,,,2020年6月1日 16:40,,2022年10月15日 16:40,2022年10月15日 16:40
2022年09月30日,,,2020年6月1日 16:40,,2022年9月30日 11:31,2022年9月30日 11:31
2023年02月28日（予備）,,,2020年6月1日 16:40,,2023年2月24日 16:57,2023年2月24日 16:57
2023年05月27日,,,2020年6月1日 16:40,,2023年5月24日 17:35,2023年5月24日 17:35
2022年03月14日 ＋ 2021年01月03日 2/2,,,2020年6月1日 16:40,,2022年3月14日 16:34,2022年3月14日 16:34
2022年01月13日 ＋ 2020年11月21日 1/2,,,2020年6月1日 16:40,,2022年1月13日 14:31,2022年1月13日 14:31
2021年02月27日,,,2020年6月1日 16:40,,2021年2月26日 14:53,2021年2月26日 14:53
2023年06月25日,,,2020年6月1日 16:40,,2023年6月23日 16:18,2023年6月23日 16:18
