"早割価格3,000円",ファイル,定員数,日程,時間,開催地
,%E6%B3%95%E4%BA%BA%E4%BF%9D%E9%99%BA%E3%82%B4%E3%83%BC%E3%83%AB%E3%83%89%E3%83%A9%E3%83%83%E3%82%B7%E3%83%A5%EF%BC%81%E3%83%97%E3%83%AD%E3%82%B8%E3%82%A7%E3%82%AF%E3%83%88%20%E3%83%97%E3%83%AC%E3%82%BB%E3%83%9F%E3%83%8A%E3%83%BC%EF%BC%86%E8%AA%AC%E6%98%8E%E4%BC%9A%20%E9%96%8B%E5%82%AC%EF%BC%81/untitled%2087,増席! 10名→15名,8月6日(火),14:00-16:30(開場 13:45),東京
,%E6%B3%95%E4%BA%BA%E4%BF%9D%E9%99%BA%E3%82%B4%E3%83%BC%E3%83%AB%E3%83%89%E3%83%A9%E3%83%83%E3%82%B7%E3%83%A5%EF%BC%81%E3%83%97%E3%83%AD%E3%82%B8%E3%82%A7%E3%82%AF%E3%83%88%20%E3%83%97%E3%83%AC%E3%82%BB%E3%83%9F%E3%83%8A%E3%83%BC%EF%BC%86%E8%AA%AC%E6%98%8E%E4%BC%9A%20%E9%96%8B%E5%82%AC%EF%BC%81/untitled%2087,増席! 10名→15名,8月7日(水),14:00-16:30(開場 13:45),福岡①
,%E6%B3%95%E4%BA%BA%E4%BF%9D%E9%99%BA%E3%82%B4%E3%83%BC%E3%83%AB%E3%83%89%E3%83%A9%E3%83%83%E3%82%B7%E3%83%A5%EF%BC%81%E3%83%97%E3%83%AD%E3%82%B8%E3%82%A7%E3%82%AF%E3%83%88%20%E3%83%97%E3%83%AC%E3%82%BB%E3%83%9F%E3%83%8A%E3%83%BC%EF%BC%86%E8%AA%AC%E6%98%8E%E4%BC%9A%20%E9%96%8B%E5%82%AC%EF%BC%81/untitled%2087,増席! 10名→15名,8月7日(水),18:00-20:30(開場 17:45),福岡①
,%E6%B3%95%E4%BA%BA%E4%BF%9D%E9%99%BA%E3%82%B4%E3%83%BC%E3%83%AB%E3%83%89%E3%83%A9%E3%83%83%E3%82%B7%E3%83%A5%EF%BC%81%E3%83%97%E3%83%AD%E3%82%B8%E3%82%A7%E3%82%AF%E3%83%88%20%E3%83%97%E3%83%AC%E3%82%BB%E3%83%9F%E3%83%8A%E3%83%BC%EF%BC%86%E8%AA%AC%E6%98%8E%E4%BC%9A%20%E9%96%8B%E5%82%AC%EF%BC%81/untitled%2087,増席! 10名→15名,緊急追加！8月6日(火),18:00-20:30(開場 17:45),東京
,%E6%B3%95%E4%BA%BA%E4%BF%9D%E9%99%BA%E3%82%B4%E3%83%BC%E3%83%AB%E3%83%89%E3%83%A9%E3%83%83%E3%82%B7%E3%83%A5%EF%BC%81%E3%83%97%E3%83%AD%E3%82%B8%E3%82%A7%E3%82%AF%E3%83%88%20%E3%83%97%E3%83%AC%E3%82%BB%E3%83%9F%E3%83%8A%E3%83%BC%EF%BC%86%E8%AA%AC%E6%98%8E%E4%BC%9A%20%E9%96%8B%E5%82%AC%EF%BC%81/untitled%2087,増席! 10名→15名,8月9日(金),14:00-16:30(開場 13:45),大阪①
,%E6%B3%95%E4%BA%BA%E4%BF%9D%E9%99%BA%E3%82%B4%E3%83%BC%E3%83%AB%E3%83%89%E3%83%A9%E3%83%83%E3%82%B7%E3%83%A5%EF%BC%81%E3%83%97%E3%83%AD%E3%82%B8%E3%82%A7%E3%82%AF%E3%83%88%20%E3%83%97%E3%83%AC%E3%82%BB%E3%83%9F%E3%83%8A%E3%83%BC%EF%BC%86%E8%AA%AC%E6%98%8E%E4%BC%9A%20%E9%96%8B%E5%82%AC%EF%BC%81/untitled%2087,増席! 10名→15名,8月8日(木),14:00-16:30(開場 13:45),大阪①
,%E6%B3%95%E4%BA%BA%E4%BF%9D%E9%99%BA%E3%82%B4%E3%83%BC%E3%83%AB%E3%83%89%E3%83%A9%E3%83%83%E3%82%B7%E3%83%A5%EF%BC%81%E3%83%97%E3%83%AD%E3%82%B8%E3%82%A7%E3%82%AF%E3%83%88%20%E3%83%97%E3%83%AC%E3%82%BB%E3%83%9F%E3%83%8A%E3%83%BC%EF%BC%86%E8%AA%AC%E6%98%8E%E4%BC%9A%20%E9%96%8B%E5%82%AC%EF%BC%81/untitled%2087,増席! 10名→15名,緊急追加！8月8日(木),18:00-20:30(開場 17:45),大阪①
,%E6%B3%95%E4%BA%BA%E4%BF%9D%E9%99%BA%E3%82%B4%E3%83%BC%E3%83%AB%E3%83%89%E3%83%A9%E3%83%83%E3%82%B7%E3%83%A5%EF%BC%81%E3%83%97%E3%83%AD%E3%82%B8%E3%82%A7%E3%82%AF%E3%83%88%20%E3%83%97%E3%83%AC%E3%82%BB%E3%83%9F%E3%83%8A%E3%83%BC%EF%BC%86%E8%AA%AC%E6%98%8E%E4%BC%9A%20%E9%96%8B%E5%82%AC%EF%BC%81/untitled%2087,増席! 10名→15名,緊急追加！8月9日(金),18:00-20:30(開場 17:45),大阪①
,%E6%B3%95%E4%BA%BA%E4%BF%9D%E9%99%BA%E3%82%B4%E3%83%BC%E3%83%AB%E3%83%89%E3%83%A9%E3%83%83%E3%82%B7%E3%83%A5%EF%BC%81%E3%83%97%E3%83%AD%E3%82%B8%E3%82%A7%E3%82%AF%E3%83%88%20%E3%83%97%E3%83%AC%E3%82%BB%E3%83%9F%E3%83%8A%E3%83%BC%EF%BC%86%E8%AA%AC%E6%98%8E%E4%BC%9A%20%E9%96%8B%E5%82%AC%EF%BC%81/untitled%2087,増席! 10名→15名,8月18日(日),14:00-16:30(開場 13:45),東京
,%E6%B3%95%E4%BA%BA%E4%BF%9D%E9%99%BA%E3%82%B4%E3%83%BC%E3%83%AB%E3%83%89%E3%83%A9%E3%83%83%E3%82%B7%E3%83%A5%EF%BC%81%E3%83%97%E3%83%AD%E3%82%B8%E3%82%A7%E3%82%AF%E3%83%88%20%E3%83%97%E3%83%AC%E3%82%BB%E3%83%9F%E3%83%8A%E3%83%BC%EF%BC%86%E8%AA%AC%E6%98%8E%E4%BC%9A%20%E9%96%8B%E5%82%AC%EF%BC%81/untitled%2087,増席! 10名→15名,8月10日(土),14:00-16:30(開場 13:45),名古屋①
