プロパティ,薬を飲んでも効果がない,ファイル
,,
,病院に行っても良くならない,%E3%80%90%E7%A6%8F%E5%B2%A1%E5%B8%82%E3%80%91%E8%87%AA%E5%BE%8B%E7%A5%9E%E7%B5%8C%E3%83%BB%E7%A5%9E%E7%B5%8C%E7%97%87%E3%81%AE%E5%B0%82%E9%96%80%E9%99%A2%20%E6%B5%B7%E3%81%AE%E3%82%B5%E3%83%AD%E3%83%B3%E7%A9%BA/untitled%2010
,呼吸が苦しくて辛い,%E3%80%90%E7%A6%8F%E5%B2%A1%E5%B8%82%E3%80%91%E8%87%AA%E5%BE%8B%E7%A5%9E%E7%B5%8C%E3%83%BB%E7%A5%9E%E7%B5%8C%E7%97%87%E3%81%AE%E5%B0%82%E9%96%80%E9%99%A2%20%E6%B5%B7%E3%81%AE%E3%82%B5%E3%83%AD%E3%83%B3%E7%A9%BA/untitled%2010
,眠りが浅い、寝付けない,%E3%80%90%E7%A6%8F%E5%B2%A1%E5%B8%82%E3%80%91%E8%87%AA%E5%BE%8B%E7%A5%9E%E7%B5%8C%E3%83%BB%E7%A5%9E%E7%B5%8C%E7%97%87%E3%81%AE%E5%B0%82%E9%96%80%E9%99%A2%20%E6%B5%B7%E3%81%AE%E3%82%B5%E3%83%AD%E3%83%B3%E7%A9%BA/untitled%2010
,疲れがとれない,%E3%80%90%E7%A6%8F%E5%B2%A1%E5%B8%82%E3%80%91%E8%87%AA%E5%BE%8B%E7%A5%9E%E7%B5%8C%E3%83%BB%E7%A5%9E%E7%B5%8C%E7%97%87%E3%81%AE%E5%B0%82%E9%96%80%E9%99%A2%20%E6%B5%B7%E3%81%AE%E3%82%B5%E3%83%AD%E3%83%B3%E7%A9%BA/untitled%2010
,不安感が強く、外出できない,%E3%80%90%E7%A6%8F%E5%B2%A1%E5%B8%82%E3%80%91%E8%87%AA%E5%BE%8B%E7%A5%9E%E7%B5%8C%E3%83%BB%E7%A5%9E%E7%B5%8C%E7%97%87%E3%81%AE%E5%B0%82%E9%96%80%E9%99%A2%20%E6%B5%B7%E3%81%AE%E3%82%B5%E3%83%AD%E3%83%B3%E7%A9%BA/untitled%2010
,慢性的な頭痛や肩や背中の凝りがある,%E3%80%90%E7%A6%8F%E5%B2%A1%E5%B8%82%E3%80%91%E8%87%AA%E5%BE%8B%E7%A5%9E%E7%B5%8C%E3%83%BB%E7%A5%9E%E7%B5%8C%E7%97%87%E3%81%AE%E5%B0%82%E9%96%80%E9%99%A2%20%E6%B5%B7%E3%81%AE%E3%82%B5%E3%83%AD%E3%83%B3%E7%A9%BA/untitled%2010
,何事にもやる気が起きない,%E3%80%90%E7%A6%8F%E5%B2%A1%E5%B8%82%E3%80%91%E8%87%AA%E5%BE%8B%E7%A5%9E%E7%B5%8C%E3%83%BB%E7%A5%9E%E7%B5%8C%E7%97%87%E3%81%AE%E5%B0%82%E9%96%80%E9%99%A2%20%E6%B5%B7%E3%81%AE%E3%82%B5%E3%83%AD%E3%83%B3%E7%A9%BA/untitled%2010
,いつも手足が冷えている,%E3%80%90%E7%A6%8F%E5%B2%A1%E5%B8%82%E3%80%91%E8%87%AA%E5%BE%8B%E7%A5%9E%E7%B5%8C%E3%83%BB%E7%A5%9E%E7%B5%8C%E7%97%87%E3%81%AE%E5%B0%82%E9%96%80%E9%99%A2%20%E6%B5%B7%E3%81%AE%E3%82%B5%E3%83%AD%E3%83%B3%E7%A9%BA/untitled%2010
,便秘や下痢の状態,%E3%80%90%E7%A6%8F%E5%B2%A1%E5%B8%82%E3%80%91%E8%87%AA%E5%BE%8B%E7%A5%9E%E7%B5%8C%E3%83%BB%E7%A5%9E%E7%B5%8C%E7%97%87%E3%81%AE%E5%B0%82%E9%96%80%E9%99%A2%20%E6%B5%B7%E3%81%AE%E3%82%B5%E3%83%AD%E3%83%B3%E7%A9%BA/untitled%2010
,季節の変わり目にはいつも体調がおかしくなる,%E3%80%90%E7%A6%8F%E5%B2%A1%E5%B8%82%E3%80%91%E8%87%AA%E5%BE%8B%E7%A5%9E%E7%B5%8C%E3%83%BB%E7%A5%9E%E7%B5%8C%E7%97%87%E3%81%AE%E5%B0%82%E9%96%80%E9%99%A2%20%E6%B5%B7%E3%81%AE%E3%82%B5%E3%83%AD%E3%83%B3%E7%A9%BA/untitled%2010
