名前,タグ,作成日時
思い込み → 高値つかみ,,2021年9月17日 20:22
MMサクルのボトムを見抜けず、固定概念で4Hを見誤る,,2020年11月22日 12:26
エリオットの信じすぎ,,2020年9月18日 17:33
理論の盲信により失敗,,2020年9月5日 9:38
入る時の忘れやすい根拠つけポイント,,2020年8月23日 14:52
ルール作り,,2020年8月17日 10:03
サロンが動かない時に、独自に危うい,,2020年7月28日 1:30
2020年7月1日　GPB/JPY　サイクルの決めつけ,,2020年7月6日 17:25
天井と底を読めず、サイクルの方向性を読み違えた,,2020年2月8日 12:17
底値でトレード、GBP/USD,,2020年1月24日 20:43
トレードしたいポジポジ病で、薄利で、リスクのあるトレードをした,,2019年10月25日 10:43
自分を信じられずに得を逃したくない欲でトレード,,2019年10月24日 9:50
自分の引いたラインを信じられず、感情に任せて、利益を減らし、リスクを増やし、資金を寝かす無駄な時間を作った,,2019年10月15日 13:15
2019年9月２４日　EUR/JPY　調整波を取るつもりが戻しが浅く、利益が薄かった,,2019年9月24日 12:56
サイクル論で、4Hの１サイクル目からでも高勝率を取る。焦って、入らない,,2019年9月19日 19:37
エリオット波動を信じすぎ、細かく儲けようという欲での失敗,,2019年9月16日 16:42
ポンド円でボトムの誤差の大きさに勘違いし大損,,2019年9月3日 7:59
無題,,2019年8月10日 16:54
勝つための優先順位,,2019年6月15日 13:09
下落から、更に下落で読み違え！,,2019年6月10日 20:24
小さな足で見すぎて、大きな流れを無視,,2019年5月28日 11:02
FXの注意事項まとめ　※毎日チェック,,2019年5月22日 15:51
2019年５月２２日,,2019年5月22日 15:45
