動画タイトル,Channel,サムネイル,種類,重要度,内容詳細,URL
「小次郎講師流でテクニカル指標を極めよう ストキャスティクス徹底研究」小次郎講師 2023/1/1,その他,,"インジケーター, ストキャス, 手法紹介",★★,%Kとスロー%D（S％D）を使うオリジナルのストキャスの使い方を紹介,https://www.youtube.com/watch?v=E5kKA43Sya0
【FX手法】超具体的なエリオット波動の解説【こうすりゃ勝てる】,milk_FX勉強会 避難所,FX%E5%8B%89%E5%BC%B7%E5%8B%95%E7%94%BB%20database/%E3%82%B9%E3%82%AF%E3%83%AA%E3%83%BC%E3%83%B3%E3%82%B7%E3%83%A7%E3%83%83%E3%83%88_2025-02-05_16.15.01.png,"エリオット波動, 実演, 質疑応答",★★,フィボナッチの使い方、実例と小鉄板、38.2％に方が、61.8％よりピンポイントで効く,https://www.youtube.com/watch?v=-XHQ7PVu6Y8
僕が実際にエントリーしたFX高勝率手法を見せる。詳しく解説する。,milk_FX勉強会 避難所,FX%E5%8B%89%E5%BC%B7%E5%8B%95%E7%94%BB%20database/%E3%82%B9%E3%82%AF%E3%83%AA%E3%83%BC%E3%83%B3%E3%82%B7%E3%83%A7%E3%83%83%E3%83%88_2025-01-25_17.25.33.png,,,,https://www.youtube.com/watch?v=lGh9obdgehs
僕のFX専業としての枚数・ロット数の決め方とトレードスタイルの変遷,milk_FX勉強会 避難所,FX%E5%8B%89%E5%BC%B7%E5%8B%95%E7%94%BB%20database/%E3%82%B9%E3%82%AF%E3%83%AA%E3%83%BC%E3%83%B3%E3%82%B7%E3%83%A7%E3%83%83%E3%83%88_2025-01-25_17.28.05.png,"取り組み姿勢, 考え方・哲学, 資金管理",,業績開示要求に応えない！無理に枚数を増やす、儲けメインではなく、心の健康維持したトレードが重要,https://www.youtube.com/watch?v=Z1Wp6g7GPn8&t=130s
明るく！楽しく！元気よく！FXでカネ儲けよう！【milkさんの「優しい」トレード塾】,milk_FX勉強会 避難所,FX%E5%8B%89%E5%BC%B7%E5%8B%95%E7%94%BB%20database/%E3%82%B9%E3%82%AF%E3%83%AA%E3%83%BC%E3%83%B3%E3%82%B7%E3%83%A7%E3%83%83%E3%83%88_2025-01-25_17.23.39.png,,,,https://www.youtube.com/watch?v=6GQRZJWv6NA&t=1149s
【トレード歴40年】敏腕女性トレーダーのMACD手法と勝利の秘訣とは？,その他,,"MACD, インジケーター, 手法紹介, 考え方・哲学",,この動画ではマーケットの魔術師として有名なリンダ・ラシュキ氏が40年以上にも渡りトレーダーとして活躍できた秘訣について、彼女が用いるMACDの手法を紹介しながら解説していきます。短期的なトレードではなく、長期的な統計的エッジを見つけることが大切。,https://www.youtube.com/watch?v=T35Mm0LQYsM
有料級【FX初心者講座⑦】高確率で勝てるボックス手法【デイトレ手法】,カボチャFX専業トレーダー,FX%E5%8B%89%E5%BC%B7%E5%8B%95%E7%94%BB%20database/7.png,"MA, 手法紹介",,有料級・高確率で、1波のボックスとMAで2波を取る,https://www.youtube.com/watch?v=K_0oqtBWMBU&t=241s
脱アマFX！地獄から脱してトレードで簡単に儲ける方法！,milk_FX勉強会 避難所,FX%E5%8B%89%E5%BC%B7%E5%8B%95%E7%94%BB%20database/%E3%82%B9%E3%82%AF%E3%83%AA%E3%83%BC%E3%83%B3%E3%82%B7%E3%83%A7%E3%83%83%E3%83%88_2025-02-04_23.57.54.png,"プライスアクション, 考え方・哲学",★★,エントリーは根拠を持って早めに。3つ止まってからエントリーが確率高い,https://www.youtube.com/watch?v=UnaIWA_Z8dU&t=8s
【FX手法】なぜエリオット波動を使わない？【これだけ覚えりゃ大丈夫】,milk_FX勉強会 避難所,FX%E5%8B%89%E5%BC%B7%E5%8B%95%E7%94%BB%20database/%E3%82%B9%E3%82%AF%E3%83%AA%E3%83%BC%E3%83%B3%E3%82%B7%E3%83%A7%E3%83%83%E3%83%88_2025-02-05_14.52.29.png,"エリオット波動, 実演",★★,エリオット波動の基本と使い方、NG使用例。3波が良い、5波の注意点、実際の相場で解説,https://www.youtube.com/watch?v=wtvKmFg7HFQ
【簡単シンプル超くわしい】儲かりまくりのフィボナッチ・リトレースメント講座【FX手法】,milk_FX勉強会 避難所,FX%E5%8B%89%E5%BC%B7%E5%8B%95%E7%94%BB%20database/%E3%82%B9%E3%82%AF%E3%83%AA%E3%83%BC%E3%83%B3%E3%82%B7%E3%83%A7%E3%83%83%E3%83%88_2025-02-05_16.01.31.png,"フィボナッチ, 実演, 小鉄板",★★,フィボナッチの使い方、実例と小鉄板、38.2％に方が、61.8％よりピンポイントで効く,https://www.youtube.com/watch?v=-XHQ7PVu6Y8
