タスク名,進捗,カテゴリー,状態,Date,親タスク,子タスク
Notionの使い方の動画公開,No,YouTube,理想状態,2021年9月12日,,"台本の作成 (https://app.notion.com/p/60fcb956625647c3ab9dbdf9345a2b67?pvs=21), 撮影 (https://app.notion.com/p/87ff1a6f2eb742b9991af293b901b942?pvs=21), 編集 (https://app.notion.com/p/af4f93eebb8342cbbee632eb403d93b8?pvs=21), サムネ作成 (https://app.notion.com/p/bc222d111c0f45eb8c42de01f30b0fc0?pvs=21)"
台本の作成,No,YouTube,ToDo,2021年9月5日,Notionの使い方の動画公開 (https://app.notion.com/p/bf11e7fbfa0e42fdb96e62b3d985e843?pvs=21),
撮影,No,YouTube,ToDo,2021年9月6日,Notionの使い方の動画公開 (https://app.notion.com/p/bf11e7fbfa0e42fdb96e62b3d985e843?pvs=21),
編集,No,YouTube,ToDo,2021年9月7日,Notionの使い方の動画公開 (https://app.notion.com/p/bf11e7fbfa0e42fdb96e62b3d985e843?pvs=21),
サムネ作成,No,YouTube,ToDo,2021年9月10日,Notionの使い方の動画公開 (https://app.notion.com/p/bf11e7fbfa0e42fdb96e62b3d985e843?pvs=21),
ブログ記事公開,No,ブログ,理想状態,2021年9月20日,,"競合調査 (https://app.notion.com/p/4cf51067a56a4af59b4a6383282f4920?pvs=21), 構成案作成 (https://app.notion.com/p/dcd3cc06317e4e4cbe8fd3739f4403b6?pvs=21), 入稿 (https://app.notion.com/p/424a849a2b994f62952fe865a9c3008d?pvs=21), サムネ作成 (https://app.notion.com/p/415a4819a75b4e9ca54b3e91bfad94bb?pvs=21)"
競合調査,No,ブログ,ToDo,2021年9月16日,ブログ記事公開 (https://app.notion.com/p/e1df7b85f7ee4efe82c3d35d9f73393b?pvs=21),
構成案作成,No,ブログ,ToDo,2021年9月16日,ブログ記事公開 (https://app.notion.com/p/e1df7b85f7ee4efe82c3d35d9f73393b?pvs=21),
入稿,No,ブログ,ToDo,2021年9月17日,ブログ記事公開 (https://app.notion.com/p/e1df7b85f7ee4efe82c3d35d9f73393b?pvs=21),
サムネ作成,No,ブログ,ToDo,2021年9月19日,ブログ記事公開 (https://app.notion.com/p/e1df7b85f7ee4efe82c3d35d9f73393b?pvs=21),
バグの修正（iOS12.18）,No,アプリ,理想状態,2021年9月28日,,"要件定義 (https://app.notion.com/p/b7015221ea164cc4acb941dbd31c0b73?pvs=21), オリエン (https://app.notion.com/p/7046f4012d6940aabb33c8e4816f12c6?pvs=21), 仕様書作成 (https://app.notion.com/p/e8ed65aa922e43aea852d9f68592375c?pvs=21), テスト確認 (https://app.notion.com/p/2abe0dd9612544e9b3561f4d359fd91f?pvs=21), デザイナー発注 (https://app.notion.com/p/571827f9a29c4b6e86ecc05bbaee82ee?pvs=21)"
要件定義,No,アプリ,ToDo,2021年9月9日,バグの修正（iOS12.18） (https://app.notion.com/p/3aa1575cedc94a899c77be96db432600?pvs=21),
オリエン,No,アプリ,ToDo,2021年9月14日,バグの修正（iOS12.18） (https://app.notion.com/p/3aa1575cedc94a899c77be96db432600?pvs=21),
デザイナー発注,No,アプリ,ToDo,2021年9月17日,バグの修正（iOS12.18） (https://app.notion.com/p/3aa1575cedc94a899c77be96db432600?pvs=21),
仕様書作成,No,アプリ,ToDo,2021年9月13日,バグの修正（iOS12.18） (https://app.notion.com/p/3aa1575cedc94a899c77be96db432600?pvs=21),
テスト確認,No,アプリ,ToDo,2021年9月20日 → 2021年9月24日,バグの修正（iOS12.18） (https://app.notion.com/p/3aa1575cedc94a899c77be96db432600?pvs=21),
経費精算,No,会計,ToDo,2021年9月30日,,
領収書まとめる,No,会計,ToDo,2021年9月29日,,
ランチ設定,No,,,,,
パソコンのアップデート,No,,,,,
来月の目標設定,No,,,,,
プロジェクト1,No,アプリ,ToDo,2021年9月22日,,
