タスク名,Date,カテゴリー,子タスク,状態,親タスク,進捗
サムネ作成,2021年9月19日,ブログ,,ToDo,ブログ記事公開 (https://app.notion.com/p/e1df7b85f7ee4efe82c3d35d9f73393b?pvs=21),No
プロジェクト1,2021年9月22日,アプリ,,ToDo,,No
デザイナー発注,2021年9月17日,アプリ,,ToDo,バグの修正（iOS12.18） (https://app.notion.com/p/3aa1575cedc94a899c77be96db432600?pvs=21),No
経費精算,2021年9月30日,会計,,ToDo,,No
テスト確認,2021年9月20日 → 2021年9月24日,アプリ,,ToDo,バグの修正（iOS12.18） (https://app.notion.com/p/3aa1575cedc94a899c77be96db432600?pvs=21),No
領収書まとめる,2021年9月29日,会計,,ToDo,,No
バグの修正（iOS12.18）,2021年9月28日,アプリ,"要件定義 (https://app.notion.com/p/b7015221ea164cc4acb941dbd31c0b73?pvs=21), オリエン (https://app.notion.com/p/7046f4012d6940aabb33c8e4816f12c6?pvs=21), 仕様書作成 (https://app.notion.com/p/e8ed65aa922e43aea852d9f68592375c?pvs=21), テスト確認 (https://app.notion.com/p/2abe0dd9612544e9b3561f4d359fd91f?pvs=21), デザイナー発注 (https://app.notion.com/p/571827f9a29c4b6e86ecc05bbaee82ee?pvs=21)",理想状態,,No
入稿,2021年9月17日,ブログ,,ToDo,ブログ記事公開 (https://app.notion.com/p/e1df7b85f7ee4efe82c3d35d9f73393b?pvs=21),No
競合調査,2021年9月16日,ブログ,,ToDo,ブログ記事公開 (https://app.notion.com/p/e1df7b85f7ee4efe82c3d35d9f73393b?pvs=21),No
来月の目標設定,,,,,,No
ランチ設定,,,,,,No
撮影,2021年9月6日,YouTube,,ToDo,Notionの使い方の動画公開 (https://app.notion.com/p/bf11e7fbfa0e42fdb96e62b3d985e843?pvs=21),No
編集,2021年9月7日,YouTube,,ToDo,Notionの使い方の動画公開 (https://app.notion.com/p/bf11e7fbfa0e42fdb96e62b3d985e843?pvs=21),No
Notionの使い方の動画公開,2021年9月12日,YouTube,"台本の作成 (https://app.notion.com/p/60fcb956625647c3ab9dbdf9345a2b67?pvs=21), 撮影 (https://app.notion.com/p/87ff1a6f2eb742b9991af293b901b942?pvs=21), 編集 (https://app.notion.com/p/af4f93eebb8342cbbee632eb403d93b8?pvs=21), サムネ作成 (https://app.notion.com/p/bc222d111c0f45eb8c42de01f30b0fc0?pvs=21)",理想状態,,No
構成案作成,2021年9月16日,ブログ,,ToDo,ブログ記事公開 (https://app.notion.com/p/e1df7b85f7ee4efe82c3d35d9f73393b?pvs=21),No
ブログ記事公開,2021年9月20日,ブログ,"競合調査 (https://app.notion.com/p/4cf51067a56a4af59b4a6383282f4920?pvs=21), 構成案作成 (https://app.notion.com/p/dcd3cc06317e4e4cbe8fd3739f4403b6?pvs=21), 入稿 (https://app.notion.com/p/424a849a2b994f62952fe865a9c3008d?pvs=21), サムネ作成 (https://app.notion.com/p/415a4819a75b4e9ca54b3e91bfad94bb?pvs=21)",理想状態,,No
仕様書作成,2021年9月13日,アプリ,,ToDo,バグの修正（iOS12.18） (https://app.notion.com/p/3aa1575cedc94a899c77be96db432600?pvs=21),No
台本の作成,2021年9月5日,YouTube,,ToDo,Notionの使い方の動画公開 (https://app.notion.com/p/bf11e7fbfa0e42fdb96e62b3d985e843?pvs=21),No
オリエン,2021年9月14日,アプリ,,ToDo,バグの修正（iOS12.18） (https://app.notion.com/p/3aa1575cedc94a899c77be96db432600?pvs=21),No
パソコンのアップデート,,,,,,No
要件定義,2021年9月9日,アプリ,,ToDo,バグの修正（iOS12.18） (https://app.notion.com/p/3aa1575cedc94a899c77be96db432600?pvs=21),No
サムネ作成,2021年9月10日,YouTube,,ToDo,Notionの使い方の動画公開 (https://app.notion.com/p/bf11e7fbfa0e42fdb96e62b3d985e843?pvs=21),No
