名前,ステータス,タスク種別,プロジェクト,実施予定日,気持ち
問題を解く,完了,,,2022年11月29日,
ToDoリストページの完成,進行中,▶️ 次に取るべき行動リスト,Notion を使えるようにする (https://app.notion.com/p/17ef219798fe41f992c0ce732510cb77?pvs=21),2023年5月20日,
,未着手,,,,
TASKB,完了,,,2022年12月11日,
TEST,完了,,,2023年2月14日,
アンバサダータスクD,完了,,,2022年12月15日,
,未着手,,,,
Yoast Duplicate Postを入れる,完了,▶️ 次に取るべき行動リスト,MStao HPリニューアル (https://app.notion.com/p/ef32fcae51384fb8988c45c03aab1a92?pvs=21),2023年5月19日,
,未着手,,,,
TASKD,完了,,,2022年12月11日,
EA YouTuber アサヒさにLINEで相談,未着手,💫 いつかやる・たぶんやる,FXをEAで運用 (https://app.notion.com/p/c68dd95953924663960299bfc6eb6217?pvs=21),,
説明書の制作,未着手,▶️ 次に取るべき行動リスト,MStao HPリニューアル (https://app.notion.com/p/ef32fcae51384fb8988c45c03aab1a92?pvs=21),,
WP制作で毎回入れるプラグインをまとめる,未着手,💫 いつかやる・たぶんやる,Notion を使えるようにする (https://app.notion.com/p/17ef219798fe41f992c0ce732510cb77?pvs=21),,
アンバサダータスクG,未着手,💫 いつかやる・たぶんやる,【12月末までに】○○する (https://app.notion.com/p/6a6ab6c56bf94ffd8e6fb0b6abcd0440?pvs=21),,
MSTAOへのスマホ電話ボタン設置,完了,▶️ 次に取るべき行動リスト,,2023年5月19日,
アンバサダータスクA,未着手,,【12月末までに】○○する (https://app.notion.com/p/6a6ab6c56bf94ffd8e6fb0b6abcd0440?pvs=21),2023年5月13日,
固定ページ、投稿ページのコピーの仕方 マニュアル制作,未着手,,MStao HPリニューアル (https://app.notion.com/p/ef32fcae51384fb8988c45c03aab1a92?pvs=21),,
新しい椅子を買う,未着手,,,2022年12月1日,
　WPのプラグイン名一覧をDB作る,未着手,💫 いつかやる・たぶんやる,Notion を使えるようにする (https://app.notion.com/p/17ef219798fe41f992c0ce732510cb77?pvs=21),,
固定ページ、投稿ページの指定ページの移動 マニュアルの作成,未着手,,MStao HPリニューアル (https://app.notion.com/p/ef32fcae51384fb8988c45c03aab1a92?pvs=21),,
,未着手,,,,
アンバサダータスクC,完了,,【12月末までに】○○する (https://app.notion.com/p/6a6ab6c56bf94ffd8e6fb0b6abcd0440?pvs=21),2022年12月12日,
アンバサダータスクF,完了,▶️ 次に取るべき行動リスト,【12月末までに】○○する (https://app.notion.com/p/6a6ab6c56bf94ffd8e6fb0b6abcd0440?pvs=21),2023年2月14日,
アンバサダータスクD,未着手,,【12月末までに】○○する (https://app.notion.com/p/6a6ab6c56bf94ffd8e6fb0b6abcd0440?pvs=21),2022年11月28日,
日記のテンプレを決める,進行中,▶️ 次に取るべき行動リスト,Notion を使えるようにする (https://app.notion.com/p/17ef219798fe41f992c0ce732510cb77?pvs=21),2023年5月20日,
タスク,未着手,,,2023年2月15日,
過去問を1年分解く,完了,,,2022年11月29日,
,未着手,,,2022年11月28日,
タスクA,未着手,▶️ 次に取るべき行動リスト,,2023年2月15日,
memoページの確定,進行中,▶️ 次に取るべき行動リスト,Notion を使えるようにする (https://app.notion.com/p/17ef219798fe41f992c0ce732510cb77?pvs=21),2023年5月20日,
問い合わせフォーム　メルアド2重チェックなくす,完了,▶️ 次に取るべき行動リスト,MStao HPリニューアル (https://app.notion.com/p/ef32fcae51384fb8988c45c03aab1a92?pvs=21),2023年5月19日,
タスクA,完了,,,2022年12月14日,
,未着手,,,,
アンバサダータスクE,完了,,【12月末までに】○○する (https://app.notion.com/p/6a6ab6c56bf94ffd8e6fb0b6abcd0440?pvs=21),2022年12月14日,
（2/14）○○さんに実装依頼,未着手,📧 連絡待ち,,,
タスクB,未着手,💫 いつかやる・たぶんやる,,,
二重チェックの作業内容をWP作業memoに入れる,未着手,💫 いつかやる・たぶんやる,,,
,未着手,,,,
WP Delete Post Copiesどうするか決める,完了,▶️ 次に取るべき行動リスト,MStao HPリニューアル (https://app.notion.com/p/ef32fcae51384fb8988c45c03aab1a92?pvs=21),2023年5月20日,
アンバサダータスクB,完了,,【12月末までに】○○する (https://app.notion.com/p/6a6ab6c56bf94ffd8e6fb0b6abcd0440?pvs=21),2022年12月14日,
情報ページ設置,完了,▶️ 次に取るべき行動リスト,MStao HPリニューアル (https://app.notion.com/p/ef32fcae51384fb8988c45c03aab1a92?pvs=21),2023年5月19日,
TASKC,完了,,,2022年12月11日,
スマホ下部 電話ボタン設置,完了,▶️ 次に取るべき行動リスト,MStao HPリニューアル (https://app.notion.com/p/ef32fcae51384fb8988c45c03aab1a92?pvs=21),2023年5月19日,
DAOの説明資料を作る,未着手,💫 いつかやる・たぶんやる,FORTNITE DAO project (https://app.notion.com/p/11ef152295da40f5b014d832b788f3cd?pvs=21),,
HP、WP構築後の設定、プラグインリスト、工程をmemo,未着手,💫 いつかやる・たぶんやる,,,
Todoリスト管理を理解,未着手,💫 いつかやる・たぶんやる,,,
TASKA,未着手,,,2022年12月11日,
プロンプトの情報をまとめる,未着手,💫 いつかやる・たぶんやる,ChatGPT を使えるようにる (https://app.notion.com/p/9532c63c396f4762a55df8eba5f24ddf?pvs=21),,
テキストを軽く一周する,未着手,,,2022年12月9日,
