名前,ステータス,タスク種別,プロジェクト,マルチセレクト,実施予定日,気持ち
Yoast Duplicate Postを入れる,完了,▶️ 次に取るべき行動リスト,MStao HPリニューアル (https://app.notion.com/p/2862dba4bca04b8d84f642a77e3f69c0?pvs=21),,2023年5月19日,
新しい椅子を買う,未着手,,,,2022年12月1日,
タスク,未着手,,,,2023年2月15日,
情報ページ設置,完了,▶️ 次に取るべき行動リスト,MStao HPリニューアル (https://app.notion.com/p/2862dba4bca04b8d84f642a77e3f69c0?pvs=21),,2023年5月19日,
タスクB,未着手,💫 いつかやる・たぶんやる,,,,
TASKC,完了,,,,2022年12月11日,
アンバサダータスクD,完了,,,,2022年12月15日,
TASKD,完了,,,,2022年12月11日,
,未着手,,,,,
TASKB,完了,,,,2022年12月11日,
TEST,完了,,,,2023年2月14日,
アンバサダータスクA,未着手,,【12月末までに】○○する (https://app.notion.com/p/6927cb996ab94514a848e9cb43c66626?pvs=21),,2023年5月13日,
　WPのプラグイン名一覧をDB作る,未着手,💫 いつかやる・たぶんやる,Notion を使えるようにする (https://app.notion.com/p/26cd15db54f64e4493032015685ccd6a?pvs=21),,,
アンバサダータスクC,完了,,【12月末までに】○○する (https://app.notion.com/p/6927cb996ab94514a848e9cb43c66626?pvs=21),,2022年12月12日,
,未着手,,,,2022年11月28日,
,未着手,,,,,
（2/14）○○さんに実装依頼,未着手,📧 連絡待ち,,,,
DAOの説明資料を作る,未着手,💫 いつかやる・たぶんやる,FORTNITE DAO project (https://app.notion.com/p/b71f0b66fe7045faa40f913e3880099a?pvs=21),,,
,未着手,,,,,
memoページの確定,進行中,▶️ 次に取るべき行動リスト,Notion を使えるようにする (https://app.notion.com/p/26cd15db54f64e4493032015685ccd6a?pvs=21),,2023年5月20日,
タスクA,完了,,,,2022年12月14日,
Todoリスト管理を理解,未着手,💫 いつかやる・たぶんやる,,,,
説明書の制作,未着手,▶️ 次に取るべき行動リスト,MStao HPリニューアル (https://app.notion.com/p/2862dba4bca04b8d84f642a77e3f69c0?pvs=21),,,
EA YouTuber アサヒさにLINEで相談,未着手,💫 いつかやる・たぶんやる,FXをEAで運用 (https://app.notion.com/p/71d143cdb75e4e78ac11e8a9a774b68b?pvs=21),,,
ToDoリストページの完成,進行中,▶️ 次に取るべき行動リスト,Notion を使えるようにする (https://app.notion.com/p/26cd15db54f64e4493032015685ccd6a?pvs=21),,2023年5月20日,
,未着手,,,,,
固定ページ、投稿ページの指定ページの移動 マニュアルの作成,未着手,,MStao HPリニューアル (https://app.notion.com/p/2862dba4bca04b8d84f642a77e3f69c0?pvs=21),,,
過去問を1年分解く,完了,,,,2022年11月29日,
アンバサダータスクG,未着手,💫 いつかやる・たぶんやる,【12月末までに】○○する (https://app.notion.com/p/6927cb996ab94514a848e9cb43c66626?pvs=21),,,
アンバサダータスクB,完了,,【12月末までに】○○する (https://app.notion.com/p/6927cb996ab94514a848e9cb43c66626?pvs=21),,2022年12月14日,
スマホ下部 電話ボタン設置,完了,▶️ 次に取るべき行動リスト,MStao HPリニューアル (https://app.notion.com/p/2862dba4bca04b8d84f642a77e3f69c0?pvs=21),,2023年5月19日,
WP Delete Post Copiesどうするか決める,完了,▶️ 次に取るべき行動リスト,MStao HPリニューアル (https://app.notion.com/p/2862dba4bca04b8d84f642a77e3f69c0?pvs=21),,2023年5月20日,
アンバサダータスクE,完了,,【12月末までに】○○する (https://app.notion.com/p/6927cb996ab94514a848e9cb43c66626?pvs=21),,2022年12月14日,
問い合わせフォーム　メルアド2重チェックなくす,完了,▶️ 次に取るべき行動リスト,MStao HPリニューアル (https://app.notion.com/p/2862dba4bca04b8d84f642a77e3f69c0?pvs=21),,2023年5月19日,
,未着手,,,,,
二重チェックの作業内容をWP作業memoに入れる,未着手,💫 いつかやる・たぶんやる,,,,
HP、WP構築後の設定、プラグインリスト、工程をmemo,未着手,💫 いつかやる・たぶんやる,,,,
タスクA,未着手,▶️ 次に取るべき行動リスト,,,2023年2月15日,
プロンプトの情報をまとめる,未着手,💫 いつかやる・たぶんやる,ChatGPT を使えるようにる (https://app.notion.com/p/952b7dcab5804ab698c87ac989c7ce5d?pvs=21),,,
問題を解く,完了,,,,2022年11月29日,
アンバサダータスクD,未着手,,【12月末までに】○○する (https://app.notion.com/p/6927cb996ab94514a848e9cb43c66626?pvs=21),,2022年11月28日,
MSTAOへのスマホ電話ボタン設置,完了,▶️ 次に取るべき行動リスト,,,2023年5月19日,
固定ページ、投稿ページのコピーの仕方 マニュアル制作,未着手,,MStao HPリニューアル (https://app.notion.com/p/2862dba4bca04b8d84f642a77e3f69c0?pvs=21),,,
日記のテンプレを決める,進行中,▶️ 次に取るべき行動リスト,Notion を使えるようにする (https://app.notion.com/p/26cd15db54f64e4493032015685ccd6a?pvs=21),,2023年5月20日,
アンバサダータスクF,完了,▶️ 次に取るべき行動リスト,【12月末までに】○○する (https://app.notion.com/p/6927cb996ab94514a848e9cb43c66626?pvs=21),,2023年2月14日,
WP制作で毎回入れるプラグインをまとめる,未着手,💫 いつかやる・たぶんやる,Notion を使えるようにする (https://app.notion.com/p/26cd15db54f64e4493032015685ccd6a?pvs=21),,,
テキストを軽く一周する,未着手,,,,2022年12月9日,
TASKA,未着手,,,,2022年12月11日,
,未着手,,,,,
