名前,ステータス,タスク種別,プロジェクト,実施予定日,気持ち
過去問を1年分解く,完了,,12月で基本情報の資格を取る (https://app.notion.com/p/46685979397441b79790635e9b9fa72b?pvs=21),2022年11月29日,
,未着手,,,,
アンバサダータスクA,完了,,"Notion アンバサダーになる (https://app.notion.com/p/095c3434dda34b1abf66765570988dd9?pvs=21), 目標 (https://app.notion.com/p/8f6ca2594b2d4234b0dd3476fbabf66a?pvs=21), 【12月末までに】○○する (https://app.notion.com/p/35c369cb091c4d2cbcb73f7e834f6783?pvs=21)",,
TASKA,未着手,,,2022年12月11日,
アンバサダータスクG,未着手,💫 いつかやる・たぶんやる,"Notion アンバサダーになる (https://app.notion.com/p/095c3434dda34b1abf66765570988dd9?pvs=21), 目標 (https://app.notion.com/p/8f6ca2594b2d4234b0dd3476fbabf66a?pvs=21), 【12月末までに】○○する (https://app.notion.com/p/35c369cb091c4d2cbcb73f7e834f6783?pvs=21)",,
テキストを軽く一周する,未着手,,12月で基本情報の資格を取る (https://app.notion.com/p/46685979397441b79790635e9b9fa72b?pvs=21),2022年12月9日,
TASKB,完了,,,2022年12月11日,
タスク,未着手,,,2023年2月15日,
アンバサダータスクF,完了,▶️ 次に取るべき行動リスト,"Notion アンバサダーになる (https://app.notion.com/p/095c3434dda34b1abf66765570988dd9?pvs=21), 目標 (https://app.notion.com/p/8f6ca2594b2d4234b0dd3476fbabf66a?pvs=21), 【12月末までに】○○する (https://app.notion.com/p/35c369cb091c4d2cbcb73f7e834f6783?pvs=21)",2023年2月14日,
アンバサダータスクB,完了,,"Notion アンバサダーになる (https://app.notion.com/p/095c3434dda34b1abf66765570988dd9?pvs=21), 目標 (https://app.notion.com/p/8f6ca2594b2d4234b0dd3476fbabf66a?pvs=21), 【12月末までに】○○する (https://app.notion.com/p/35c369cb091c4d2cbcb73f7e834f6783?pvs=21)",2022年12月14日,
アンバサダータスクC,完了,,"Notion アンバサダーになる (https://app.notion.com/p/095c3434dda34b1abf66765570988dd9?pvs=21), 目標 (https://app.notion.com/p/8f6ca2594b2d4234b0dd3476fbabf66a?pvs=21), 【12月末までに】○○する (https://app.notion.com/p/35c369cb091c4d2cbcb73f7e834f6783?pvs=21)",2022年12月12日,
,未着手,,,,
新しい椅子を買う,未着手,,,2022年12月1日,
TASKC,完了,,,2022年12月11日,
タスクA,未着手,▶️ 次に取るべき行動リスト,,2023年2月15日,
アンバサダータスクE,完了,,"Notion アンバサダーになる (https://app.notion.com/p/095c3434dda34b1abf66765570988dd9?pvs=21), 目標 (https://app.notion.com/p/8f6ca2594b2d4234b0dd3476fbabf66a?pvs=21), 【12月末までに】○○する (https://app.notion.com/p/35c369cb091c4d2cbcb73f7e834f6783?pvs=21)",2022年12月14日,
,未着手,,,2022年11月28日,
TASKD,完了,,,2022年12月11日,
,未着手,,,,
,未着手,,,,
タスクB,未着手,💫 いつかやる・たぶんやる,12月で基本情報の資格を取る (https://app.notion.com/p/46685979397441b79790635e9b9fa72b?pvs=21),,
,未着手,,,,
タスクA,完了,,12月で基本情報の資格を取る (https://app.notion.com/p/46685979397441b79790635e9b9fa72b?pvs=21),2022年12月14日,
アンバサダータスクD,未着手,,"【12月末までに】○○する (https://app.notion.com/p/35c369cb091c4d2cbcb73f7e834f6783?pvs=21), 目標 (https://app.notion.com/p/8f6ca2594b2d4234b0dd3476fbabf66a?pvs=21), Notion アンバサダーになる (https://app.notion.com/p/095c3434dda34b1abf66765570988dd9?pvs=21)",2022年11月28日,
アンバサダータスクD,完了,,Notion アンバサダーになる (https://app.notion.com/p/095c3434dda34b1abf66765570988dd9?pvs=21),2022年12月15日,
（2/14）○○さんに実装依頼,未着手,📧 連絡待ち,,,
問題を解く,完了,,,2022年11月29日,
TEST,完了,,,2023年2月14日,
