名前,progress,カテゴリー,タグ,作成日時,日付,用途や目的の説明
"占いカード説明_プロンプト_240522 ",ING,作業効率化,占い,2024年5月24日 17:37,2024年5月23日,
中国ニュース台本,AWAY,文章生成,YouTube台本,2024年5月24日 17:37,2024年2月26日,
韓国ニュース台本,AWAY,文章生成,YouTube台本,2024年5月24日 17:45,2024年2月26日,
そらマーケティング提案,ING,Proposal,"仕事, 効率化, 未使用, 流用型",2024年5月25日 17:54,,
中西さんFXコミニティー,ING,文章生成,メッセージ,2024年5月26日 19:04,,
中国ニュース台本【Claud3】用,ING,文章生成,YouTube台本,2024年5月26日 19:06,2024年4月4日,
川本さん台本,ING,文章生成,YouTube台本,2024年5月26日 19:07,2023年12月28日,
日本・その他ニュース台本,ING,文章生成,YouTube台本,2024年5月26日 19:08,2024年2月26日,
掲示板の引き寄せの法則 動画まとめ,ING,文章まとめ,宇宙・引き寄せの法則,2024年6月3日 16:35,2024年6月3日,
本のまとめ動画  まとめプロンプト,ING,文章まとめ,"仕事, 効率化, 流用型",2024年6月4日 16:44,2024年6月3日,
アジア経済ニュース【YouTube】台本,ING,文章生成,YouTube台本,2024年6月8日 13:02,2024年2月26日,
引き込まれるストーリーにする　プロンプト,ING,文章まとめ,"仕事, 効率化, 宇宙・引き寄せの法則, 流用型",2024年6月15日 17:14,2024年6月3日,
見本として例を与えるプロンプト,ING,文章生成,,2024年7月11日 17:54,,具体的な例文を提供し、その例文をそのまま使用させないようにし、スタイルやトーンを参考にさせる指示
プロンプトのポイント,,,,2024年8月3日 13:49,,
動画  まとめプロンプト,ING,文章まとめ,"仕事, 効率化, 流用型",2024年9月22日 17:27,2024年6月3日,
