名前,作業期間
テーマそのほかのプログラムの設置・設定,2023年5月4日 → 2023年5月5日
ヘッダー、バナー、下層P項目デザインの方向性の確定,2023年4月28日 → 2023年5月3日
下層コンテンツ確認,2023年5月4日
LPデザイン修正,2023年5月10日 → 2023年5月11日
下層コンテンツデザイン,2023年5月4日
LPデザインイメージ制作,2023年5月4日 → 2023年5月6日
LP デザインイメージ確認,2023年5月6日
LPデザイン制作,2023年5月5日 → 2023年5月6日
LPデザイン確認,2023年5月9日
下層デザイン修正,2023年5月5日
ヘッダー、バナーデザイン,2023年5月3日 → 2023年5月4日
ヘッダー、バナーデザイン確認,2023年5月3日 → 2023年5月4日
ヘッダー、バナー、フッター設置,2023年5月5日
全体チェック,2023年5月9日
全体修正,2023年5月10日
LPデザイン修正指示追加,2023年5月4日 → 2023年5月5日
アニュアル制作,2023年5月13日
