タイトル,URL,タグ,テキスト,作成日
ChatGPTのブログ記事の考え方,https://www.youtube.com/watch?v=XyzMwBIsYEU,"AI, ChatGPT, HP, SEO, マーケティング",,2023年6月1日 12:26
notion alfred アプリ メモ,,"Notion, memo, アプリ, 未確認",,2023年6月1日 12:26
,,,,2023年6月1日 12:26
GTD テンプレート," 【GTD テンプレート】",Notion,,2023年6月1日 12:26
Notion 日記 データベース テンプレ作り方,https://www.youtube.com/watch?v=tf34LHSdQUw&t=120s,"Notion, memo, 未確認",,2023年6月1日 12:26
ChatGPTが自発的にTweetを生成,https://www.youtube.com/watch?v=8XllvnpvDBw,"AI, ChatGPT, SNS, Twitter, プロンプト",,2023年6月1日 12:26
Notion 月間指針 振り返り テンプレ,https://www.youtube.com/watch?v=mSQg8XNi26I&t=273s,"Notion, memo, 未確認",,2023年6月1日 12:26
ChatGTPでTwitter自動投稿,https://www.youtube.com/watch?v=3sZQoaCOXyo,"AI, ChatGPT, SNS, 学び",,2023年6月1日 12:26
WP制作で毎回入れるプラグインをまとめる,,,,2023年6月1日 12:26
Nothionメモ術-データベース,https://www.youtube.com/watch?v=bTOEvSGzNwE&t=30s,"Notion, memo",,2023年6月1日 12:26
WPテキスト置き換えプラグイン Search Regex,https://blog-bootcamp.jp/start/wordpress-searchregex/,"HP, WP, プラグイン",サイト上の文字の一括置き換え,2023年6月1日 12:26
WPのコンテンツ下に共通の内容 プラグイン,https://tart.co.jp/wordpress-plugin-insert-pages/,"HP, WP, デザイン, プラグイン, 未確認",使えるかわからないプラグイン,2023年6月1日 12:26
プロンプト参考サイト,https://prompt.quel.jp/,"AI, プロンプト",,2023年6月1日 12:26
recurtion 定期タスク管理 システム,https://recurtion.io/ja,"Notion, アプリ",,2023年6月1日 12:26
WP プラグイン 投稿のコピー Yoast Duplicate Post,,"WP, プラグイン",,2023年6月1日 12:26
,,HP,,2023年6月1日 12:26
ツイート自動生成プロンプト,https://www.youtube.com/watch?v=8XllvnpvDBw&t=141s,"AI, ChatGPT, Twitter, プロンプト",,2023年6月1日 12:26
Notion英語 カテゴリ、タグ,,Notion,,2023年6月1日 12:26
Simple Custom CSS and JS,,"HP, WP, デザイン, プラグイン, 実務",,2023年6月1日 12:26
ChatGPT×YouTubeショートで稼ぐ方法,https://www.youtube.com/watch?v=n8Qu6f_fhO4,"AI, ChatGPT, YouTube, 稼ぐ",,2023年6月1日 12:26
,,,,2023年6月1日 12:26
最速メモアプリFast Notion,https://www.youtube.com/watch?v=NxC6QEUOrMw,"Notion, memo, アプリ, 未確認",,2023年6月1日 12:26
ラッコキーワード,https://related-keywords.com/,"HP, SEO, マーケティング",SEO対策のための支援ツール,2023年6月1日 12:26
Notion Wiki機能,https://www.youtube.com/watch?v=Om5JHbiE4bM,"HP, Notion, WP, 未確認",,2023年6月1日 12:26
qqqq,,,,2023年6月1日 12:26
江頭チャンネル  カツオのアホ女,https://www.youtube.com/watch?v=EQRmKStkb44,"ブランディング, マーケティング, 学び",,2023年6月1日 12:26
,,,,2023年6月1日 12:26
リレーション・ロールアップを学ぶ動画,https://www.youtube.com/watch?v=q-EiuT6_nho,Notion,,2023年6月1日 12:26
EAは指標前っていつ止める？,https://www.youtube.com/watch?v=ouXgHlmJzxA,"EA, FX",,2023年6月1日 12:26
AIプロンプトエンジリアリング,https://www.youtube.com/watch?v=QZG_BepbKOk,"AI, ChatGPT, プロンプト",,2023年6月1日 12:26
Notionde GTDタスク管理 運用,https://www.youtube.com/watch?v=G82JLeUs4NM&t=313s,"Notion, memo, 未確認",,2023年6月1日 12:26
3DCG人体モデル　MetaHuman Creator,ne.com/ja/metahuman,"3DCG, デザイン",,2023年6月1日 12:26
WP 記事の下に共通コンテンツを入れる,,"HP, WP, デザイン, プラグイン",,2023年6月1日 12:26
