タイトル,Attention Leve,URL,タグ,テキスト,作成日,投稿 済・未,日付
Simple Custom CSS and JS,,,"BookMark, WebSite, WordPress, デザイン, プラグイン, 実務",,2023年4月30日 13:31,,
Nothionメモ術-データベース,,https://www.youtube.com/watch?v=bTOEvSGzNwE&t=30s,"Notion, memo",,2023年5月17日 16:31,,
ChatGPT×YouTubeショートで稼ぐ方法,,https://www.youtube.com/watch?v=n8Qu6f_fhO4,"AI-related, ChatGPT, YouTube, 稼ぐ",,2023年5月17日 16:38,,
最速メモアプリFast Notion,,https://www.youtube.com/watch?v=NxC6QEUOrMw,"Notion, memo",,2023年5月17日 17:59,,
,,,,,2023年5月17日 18:07,,
Notion Wiki機能,,https://www.youtube.com/watch?v=Om5JHbiE4bM,"BookMark, Notion, WebSite, WordPress",,2023年5月17日 18:13,,
Notion 日記 データベース テンプレ作り方,,https://www.youtube.com/watch?v=tf34LHSdQUw&t=120s,"BookMark, Notion, memo",,2023年5月17日 19:05,,
Notion 月間指針 振り返り テンプレ,,https://www.youtube.com/watch?v=mSQg8XNi26I&t=273s,"BookMark, Notion, memo",,2023年5月17日 19:43,,
notion alfred アプリ メモ,,,"Notion, memo",,2023年5月18日 9:48,,
WP プラグイン 投稿のコピー Yoast Duplicate Post,,,"WordPress, プラグイン",,2023年5月19日 13:22,,
WPのコンテンツ下に共通の内容 プラグイン,,https://tart.co.jp/wordpress-plugin-insert-pages/,"BookMark, WebSite, WordPress, デザイン, プラグイン",使えるかわからないプラグイン,2023年5月19日 14:04,,
GTD テンプレート,," 【GTD テンプレート】",Notion,,2023年5月20日 23:07,,
recurtion 定期タスク管理 システム,,https://recurtion.io/ja,Notion,,2023年5月21日 0:43,,
WP制作で毎回入れるプラグインをまとめる,,,,,2023年5月21日 18:46,,
Notion英語 カテゴリ、タグ,,,Notion,,2023年5月23日 17:40,,
プロンプト参考サイト,,https://prompt.quel.jp/,"AI-related, プロンプト",,2023年5月25日 16:07,,
江頭チャンネル  カツオのアホ女,,https://www.youtube.com/watch?v=EQRmKStkb44,"ブランディング, マーケティング, 学び",,2023年5月26日 11:46,,
