名前,心の状態,感想,日付,日記,気づき・出来事,運気,重要・気づきメモ,重要度
日記、心理の内観・気付,★★★,,2026年2月21日,森本さんとミーティング,,★★★,,日記・メモのみ
日記、心理の内観・気付,★★★,,2026年2月20日,庄内 喜多の湯に行った,,★★★,,日記・メモのみ
日記、心理の内観・気付,★★★★,,2026年3月20日,モバレで昼から勝った,"ちょっとした出来事, ちょっとした気付き",★★★★,売上、笠置山をイメージし、そこにあるネガティブなエネルギーを見て行き、自愛したら、感謝が自然と湧き、完璧を実感できた,日記・メモのみ
日記、心理の内観・気付,★★★,,2026年3月21日,シャドーを見出した,大きな出来事,★★★,ひーとLINEでやりとり。カモシカキャンプ場やヘテムルの件で連絡。良い状態で連絡でき、成長が見られる,日記・メモのみ
日記、心理の内観・気付,★★★,,2026年3月27日,喜多の湯に行った→Macで考えた。喜多の湯は先週ほど無にならなかった。川本さんへの教えることに執着している,,★★★,美しく自分らしい目標設定が大切。シャドーの様に,日記・メモのみ
日記、心理の内観・気付,★★★★,,2026年4月9日,瞑想で、力が抜け、思考が減った。夜は力が入っていた,,★★★,,日記・メモのみ
日記、心理の内観・気付,★★★,,2026年4月12日,森本さんMTG,,★★★,,日記・メモのみ
日記、心理の内観・気付,★★★,,2026年4月18日,心の成長や、問題解決関連を考えないようにしていた,,★★★,,日記・メモのみ
日記、心理の内観・気付,★★★,,2026年4月19日,PINTドメイン移管また失敗でショック。さらにひーがムームーアカウントChatWorkから消してた。LINEを見た一度目の時に、ひーが消えていてびびった。再度みたら戻っていた。,,★★★,ドメインでビックリしたが、直ぐに戻りよかった。思考はちょっと少ない。,日記・メモのみ
日記、心理の内観・気付,★★,,2026年4月22日,前日の川本さんと、グエンさんからの揺さぶりで、あさから、夕方まで頭痛があった,,★★★,,日記・メモのみ
日記、心理の内観・気付,★★,川本さんの開運講座で、川本さんが理解できないので、自分のせいにされたので、エゴが結構いやだったらしい,2026年4月21日,川本さんのMTG,,★★★,前日の川本さんと、グエンさんからの揺さぶりがあった,日記・メモのみ
日記、心理の内観・気付,★★,,2026年5月15日,快活Clubで、ゆったりして、シャワー浴びた。音楽や癒し系でよかった。,,★★★,朝と、昼の瞑想で、体に意識ができ、それが自愛になっているのを感じた,日記・メモのみ
日記、心理の内観・気付,★★,,2026年5月21日,,ちょっとした出来事,★★★,無の中で、ゆっくりいられ、少し愛や、感謝の波動を感じられた,日記・メモのみ
日記、心理の内観・気付,★★★,ATMでお金を下ろしたが思ったより少なく、金欠が心配,2026年5月25日,,ちょっとした出来事,★★,カードと通帳忘れ、ソフトバンクの振り込み用紙無くし、運が悪かった,日記・メモのみ
日記、心理の内観・気付,★★★,特別な体験を短時間で味わい、学びになった,2026年5月28日,お金が１万円なくなった。ピヨの振り込みで支払いが大丈夫だった,"大きな出来事, 大きな気づき",★★,支払いで厳しくなり、一時的に大きく波動が落ちたが、良い状態に移行したら、お金が一気に増えた。,日記・メモのみ
日記、心理の内観・気付,★★★★,,2026年6月23日,YouTubeの支払いが5月分がもらえないことがわかった,"大きな出来事, 大きな気づき",★★★,精霊たらしの漫画に出た、主人公と亀の精霊とのやりとりを見て。精霊さんをイメージができて、精霊さんへの感謝が強く、かなり大きな鑑賞ができた。,日記・メモのみ
日記、心理の内観・気付,★★★★,宇宙のおかげで、全てが上手く回っている。PRIZMさん支払い早くしてくれるようだ。ありがたい。,2026年6月25日,周りの人をポジティブに捉え、感謝を送った。,"大きな出来事, 大きな気づき",★★★,山本君から始まり、こずもAIに興味を持ち、トントン拍子に進んだ。,日記・メモのみ
